question,gold_answer,KG answer,taxonomy_label,confidence,source
The new Hawaii Five-0 wrapped up after how many season's on CBS,10,10,Same,1.0,ComplexQA/CompMix_table_complex/00268.json
What is Paolo Maldini's surname?,Maldini,Maldini,Same,1.0,SimpleQA/CompMix_table_simple_qa/00264.json
"How many games involving the Boston Red Sox took place at Fenway Park across the 2018 World Series, the 2013 American League Championship Series, and the 1975 American League Championship Series",7,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00070.json
What is Luis Suárez National Team?,"Uruguay Olympic football team, Uruguay national football team",Uruguay,Different answer,major,SimpleQA/CompMix_table_simple_qa/00173.json
What book followed the Fellowship of the Ring in the Lord of the Rings series,The Two Towers,The Two Towers,Same,1.0,ComplexQA/CompMix_infobox_complex/00054.json
What is Stadio Artemio Franchi's home team?,ACF Fiorentina,ACF Fiorentina,Same,1.0,SimpleQA/CompMix_table_simple_qa/00265.json
"How many games involving the St. Louis Cardinals are summarized across the game results for the 1982 National League Championship Series, 2006 National League Championship Series, 2011 World Series, 2013 National League Championship Series, and 2011 National League Championship Series",29,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00004.json
What is kylian mbappé current soccer team?,Paris Saint-Germain F.C.,"France men's national association football team|France men's national association football team (lang:en)
Real Madrid Club de Fútbol|Real Madrid Club de Fútbol (lang:en)",Temporal changes,major,SimpleQA/CompMix_table_simple_qa/00055.json
What book set in Jazz Age considered to be a Great American Novel was written in 1925,The Great Gatsby,The Great Gatsby,Same,1.0,ComplexQA/CompMix_table_complex/00039.json
What is the One Hundred Years of Solitude book's country of origin?,Argentina,Argentina,Same,1.0,SimpleQA/CompMix_table_simple_qa/00255.json
How many games played between the Los Angeles Dodgers and the Philadelphia Phillies in the National League Championship Series had a combined score of more than 10 runs,9,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00145.json
What is the country of origin of the Black Beauty book?,United States of America,United Kingdom,Different answer,major,SimpleQA/CompMix_table_simple_qa/00138.json
"What cable network had a series that starred Henry Thomas which was created for and aired an episode in North America on November 25 , 2005",Showtime,Showtime,Same,1.0,ComplexQA/OTT_QA_dev_complex/00226.json
What is the basis for the book unexpected journey?,The Hobbit,The Hobbit,Same,1.0,SimpleQA/CompMix_table_simple_qa/00303.json
"How many games played by the Boston Red Sox in the 2018 World Series, the 2013 American League Championship Series, and the 1975 American League Championship Series took place at Fenway Park",7,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00081.json
What is the country of origin of the The Little Prince?,United States of America,"France|France (lang:en)
United States|United States (lang:en)",Higher accuracy in KG than in Table,major,SimpleQA/CompMix_table_simple_qa/00202.json
What club did the soccer player Pelé represent in the year 1976,New York Cosmos,New York Cosmos,Same,1.0,ComplexQA/CompMix_table_complex/00231.json
What is the birth place of Justin Bieber?,London,London,Same,1.0,SimpleQA/CompMix_table_simple_qa/00132.json
"How many games played in the 1977, 1978, 2008, and 2009 National League Championship Series between the Los Angeles Dodgers and the Philadelphia Phillies had an attendance exceeding 50,000",13,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00088.json
What is the current soccer team of Neymar?,Paris Saint-Germain F.C,Santos F.C.|Santos F.C. (lang:en),Different answer,major,SimpleQA/CompMix_table_simple_qa/00122.json
"What country was Gianni Infantino originally from, who is the current president of FIFA",Switzerland,Switzerland,Same,1.0,ComplexQA/CompMix_infobox_complex/00106.json
What is the indigenous title of the novel The Alchemist?,O Alquimista,O Alquimista,Same,1.0,SimpleQA/CompMix_table_simple_qa/00242.json
"How many games were contested between the Los Angeles Dodgers and the Philadelphia Phillies in the National League Championship Series across the years 1977, 1978, 1983, 2008, and 2009",22,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00100.json
What is the current soccer team of kylian mbappé?,Paris Saint-Germain F.C.,"France men's national association football team|France men's national association football team (lang:en)
Real Madrid Club de Fútbol|Real Madrid Club de Fútbol (lang:en)",Different answer,major,SimpleQA/CompMix_table_simple_qa/00077.json
What date did the pilot episode of Space: Above and Beyond aired,24 September 1995,1995-09-24T00:00:00Z,Same,1.0,ComplexQA/CompMix_table_complex/00198.json
What is the name of Paul's father in the novel Dune?,Leto I Atreides,Leto I Atreides,Same,1.0,SimpleQA/CompMix_table_simple_qa/00201.json
"How many games were played at Fenway Park across the 1975 American League Championship Series, the 2013 American League Championship Series, and the 2018 World Series",7,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00152.json
What is the genre of Homeland Elegies book?,Fiction,novel,Different answer,major,SimpleQA/CompMix_table_simple_qa/00139.json
What film is the third in the series of Mad Max films,Mad Max Beyond Thunderdome,Mad Max Beyond Thunderdome,Same,1.0,ComplexQA/CompMix_table_complex/00232.json
What is the name of Percy Jackson's mother?,Sally Jackson,Sally Jackson,Same,1.0,SimpleQA/CompMix_table_simple_qa/00178.json
"How many games were played at Fenway Park across the 2018 World Series, the 2013 American League Championship Series, and the 1975 American League Championship Series",7,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00150.json
What is the name of the father character in the TV series Family Guy?,Peter Griffin,Francis Griffin|Francis Griffin (lang:en),Different answer,major,SimpleQA/CompMix_table_simple_qa/00155.json
"What genre does The Long Way to a Small, Angry Planet belong to",Science fiction,science fiction,Same,1.0,ComplexQA/CompMix_infobox_complex/00137.json
What is the name of the actor playing the character of Bill Compton in the TV series True Blood?,Stephen Moyer,Stephen Moyer,Same,1.0,SimpleQA/CompMix_table_simple_qa/00074.json
"How many games were played at Fenway Park during the 1975 American League Championship Series, 2013 American League Championship Series, and 2018 World Series",7,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00182.json
What is the name of the main character in the tv series Kakegurui?,Yumeko Jabami,Kirari Momobami|Kirari Momobami (lang:en),Different answer,major,SimpleQA/CompMix_table_simple_qa/00205.json
What has the home venue of the Kansas City Wizards been from 2011 to the present,Children's Mercy Park,Children's Mercy Park,Same,1.0,ComplexQA/CompMix_table_complex/00049.json
What is the name of the actor who won the Academy Award for Best Actor for his performance in The King's Speech?,Colin Firth,Colin Firth,Same,1.0,SimpleQA/CompMix_table_simple_qa/00294.json
How many games were played between the Los Angeles Dodgers and the Philadelphia Phillies in the National League Championship Series from 1978 through 2009,14,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00195.json
What is the name of the team he initially played on?,Sporting de Gijón B,Newell's Old Boys|Newell's Old Boys (lang:en),Different answer,major,SimpleQA/CompMix_table_simple_qa/00172.json
What is LL Cool J's role on the 2009 police procedural tv series,Sam Hanna,Sam Hanna,Same,1.0,ComplexQA/CompMix_table_complex/00174.json
What is the name of the actress who played teenage Martha in Dark?,Lisa Vicari,Lisa Vicari,Same,1.0,SimpleQA/CompMix_table_simple_qa/00045.json
"How many games were played by the Boston Red Sox in the 1975 American League Championship Series, the 2013 American League Championship Series, and the 2018 World Series",14,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00141.json
What typhoons were of the type super typhoons ?,Olive | Emma | Nancy | Violet | Dot | Megi | Songda | Muifa | Nalgae | Guchol | Jelawat | Bopha | Utor | Usagi | Francisco | Lekima | Haiyan | Neoguri | Rammasun | Halong | Genevieve | Phanfone | Vongfong | Nuri | Hagupit | Maysak | Noul | Dolphin | Nangka | Soudelor | Dujuan | Koppu | Meranti | Chaba | Haima | Nock-ten | Noru | Lan | Maria | Jebi | Mangkhut | Trami | Kong-rey | Yutu | Wutip | Hagibis,"Typhoon Goni|Typhoon Goni (lang:en)
Typhoon Surigae`|Typhoon Surigae` (lang:en)
Typhoon Chanthu|Typhoon Chanthu (lang:en)
Typhoon Mindulle|Typhoon Mindulle (lang:en)
Typhoon Kim|Typhoon Kim (lang:en)
Typhoon Irma|Typhoon Irma (lang:en)
Typhoon Mangkhut|Typhoon Mangkhut (lang:en)
Typhoon Wynne|Typhoon Wynne (lang:en)",Different answer,major,SimpleQA/Qampari_wikitables_simple/00028.json
What is the FIFA organization that was founded in Mexico City and currently includes all of North America,CONCACAF,CONCACAF,Same,1.0,ComplexQA/CompMix_table_complex/00030.json
What is the name of the album by The Police that won a Grammy award as well as a Juno award?,Synchronicity,Synchronicity,Same,1.0,SimpleQA/CompMix_table_simple_qa/00022.json
"How many games were played in the National League Championship Series between the Los Angeles Dodgers and the Philadelphia Phillies across the 1977, 1978, 2008, and 2009 seasons",18,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00120.json
What was the final album the Beatles produced?,Let it Be,The Beatles' Christmas Album|The Beatles' Christmas Album (lang:en),Different answer,major,SimpleQA/CompMix_table_simple_qa/00196.json
What is the Name of the Production company for the tv series Hellbound,Climax Studio,Climax Studio,Same,1.0,ComplexQA/CompMix_infobox_complex/00136.json
What is the name of the author who wrote A Tale of Two Cities?,Charles Dickens,Charles Dickens,Same,1.0,SimpleQA/CompMix_table_simple_qa/00287.json
How many games were played in the National League Championship Series between the Los Angeles Dodgers and the Philadelphia Phillies across the years for which game details are provided,18,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00099.json
Where was Hawaii Five-O filmed?,"Oahu, Hawaii",Hawaii|Hawaii (lang:en),Higher accuracy in Table than in KG,major,SimpleQA/CompMix_table_simple_qa/00306.json
What is the actor's name from the TV series The Big Bang Theory who also starred in the movie School for Scoundrels,Jim Parsons,Jim Parsons,Same,1.0,ComplexQA/CompMix_table_complex/00001.json
What is the name of the director of Passengers?,Morten Tyldum,Morten Tyldum,Same,1.0,SimpleQA/CompMix_table_simple_qa/00046.json
"How many games were played in the National League Championship Series between the Los Angeles Dodgers and the Philadelphia Phillies for the years 1977, 1978, 2008, and 2009",18,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00135.json
Which game is an alternate reality game ?,[[Ongs Hat]] | [[Majestic (video game)|Majestic]] | [[The Beast (game)|The Beast]] | ReGenesis Extended Reality | I Love Bees | Perplex City | Nowheremen | The Lost Ring | Commander Video | Superstruct | This Is My Milwaukee | [[Xi (alternate reality game)|Xi]] | Picture the Impossible | Potato Sack | Frog Fractions 2 | Cipher Hunt | Oxenfree | [[Sombra (Overwatch)|Sombra]] | [[Waking Titan (ARG)|Waking Titan]],"Year Zero|Year Zero (lang:en)
Cipher Hunt|Cipher Hunt (lang:en)
Spectacular Organic Corporation|Spectacular Organic Corporation (lang:en)
SexyGirlMax2019|SexyGirlMax2019 (lang:en)
Adult Swim ARG|Adult Swim ARG (lang:en)",Different answer,major,SimpleQA/Qampari_wikitables_simple/00026.json
What is the award nominated for the tv series wizards of waverly place in year 2008,Directors Guild of America Award for Outstanding Directing – Children's Programs,Directors Guild of America Award for Outstanding Directing – Children's Programs,Same,1.0,ComplexQA/CompMix_table_complex/00052.json
What is the name of the film that was the sequel to The Terminator movie?,Terminator 2: Judgment Day,Terminator 2: Judgment Day,Same,1.0,SimpleQA/CompMix_table_simple_qa/00005.json
"How many games were played in the National League Championship Series or World Series won by the St. Louis Cardinals that concluded on or after October 16, 1985",46,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00178.json
Which location is part of the  special economic zones of Ukraine ?,"Slavutych, Kyiv Oblast | Mariupol, Donetsk Oblast | Donetsk, Donetsk Oblast | Truskavets, Lviv Oblast | Mykolaiv, Mykolaiv Oblast, shipyard territory, and adjoining area | Odessa, part of Odessa Trade Sea Ports territory",Kurortopolis Truskavets|Kurortopolis Truskavets (lang:en),Higher accuracy in Table than in KG,major,SimpleQA/Qampari_wikitables_simple/00047.json
What is the birthday of the actress who portrayed the housekeeper of the Frasier household,18 April 1961,1961-04-18T00:00:00Z,Same,1.0,ComplexQA/CompMix_infobox_complex/00061.json
What is the name of the original broadcaster in Game of Thrones?,HBO,HBO,Same,1.0,SimpleQA/CompMix_table_simple_qa/00024.json
How many goals did Pele scored for Brazil national football team in the year 1971,1,0,Different answer,major,ComplexQA/CompMix_table_complex/00075.json
Which movie won the Best Picture 93rd Academy Award?,Nomadland,Careless|Careless (lang:en),Different answer,major,SimpleQA/CompMix_table_simple_qa/00236.json
What is the country of origin for the serial All of Us Are Dead,South Korea,South Korea,Same,1.0,ComplexQA/CompMix_infobox_complex/00112.json
What is the name of the role played by Michael C. Hall in the TV show Six Feet Under?,David Fisher,David Fisher,Same,1.0,SimpleQA/CompMix_table_simple_qa/00137.json
How many gold medals has the United States women's national soccer team won as of 2020,4,0,Different answer,major,ComplexQA/CompMix_infobox_complex/00041.json
Which team has a goalkeeper that scored a goal ?,Porto | New York Red Bulls | Torquay United | Motherwell | Watford,"FC Baranovichi|FC Baranovichi (lang:en)
FC Vitebsk|FC Vitebsk (lang:en)",Different answer,major,SimpleQA/Qampari_wikitables_simple/00022.json
What is the date of birth of lead singer of the Band Bon Jovi,2 March 1962,1962-03-02T00:00:00Z,Same,1.0,ComplexQA/CompMix_infobox_complex/00109.json
What is the original title of the novel The Alchemist?,O Alquimista,O Alquimista,Same,1.0,SimpleQA/CompMix_table_simple_qa/00184.json
"How many gold medals were won at the 1998 Asian Games in Bangkok , Thailand by the country represented by the wrestling athlete born in Mashhad",10,0,Different answer,major,ComplexQA/OTT_QA_dev_complex/00188.json
Which titles are used by current presidents of legislatures ?,Speaker | Chairman | Cathaoirleach | President | Presidents The European President of the Council of Ministers rotates every six months.,"President of House of Representatives (Cyprus) (lang:en)
president of the Legislative Assembly of Santa Catarina (lang:en)
President of the Queensland Legislative Council (lang:en)
Second President of the National Council of Austria (lang:en)
Vice President of the United States (lang:en)",Higher accuracy in Table than in KG,major,SimpleQA/Qampari_wikitables_simple/00018.json
What is the date of birth of the Cars movie director John Lasseter,12 January 1957,1957-01-12T00:00:00Z,Same,1.0,ComplexQA/CompMix_infobox_complex/00147.json
What is the prequel to the movie Mad Max Beyond Thunderdome?,Mad Max 2,Mad Max 2,Same,1.0,SimpleQA/CompMix_table_simple_qa/00204.json
How many matches Thiago Silva played for played for national team in 2008,3,1,Different answer,major,ComplexQA/CompMix_table_complex/00189.json
Which weapons are of the type battle riffles ?,AVS-36 | CETME rifle | Desert Tech MDR | FM57 rifle | FN FAL | FN SCAR-H | Gewehr 41 | GRAM 63 battle rifle | Howa Type 64 | IWI ACE 52 | L1A1 Self-Loading Rifle | M1918 Browning Automatic Rifle | M1 Garand | M14 rifle | Madsen LAR | Mk 14 Enhanced Battle Rifle | Model 45A | SIG SG 510 | SIG SG 542 | SLEM-1 | SVT-40 | T48 rifle | Zastava M77 B1,"Heckler & Koch HK417|Heckler & Koch HK417 (lang:en)
Sako M23|Sako M23 (lang:en)
Mk 14 Enhanced Battle Rifle|Mk 14 Enhanced Battle Rifle (lang:en)
Howa Type 64|Howa Type 64 (lang:en)
Zastava M05N|Zastava M05N (lang:en)
FN SCAR H|FN SCAR H (lang:en)
M14|M14 (lang:en)
FG 42|FG 42 (lang:en)
Sturmgewehr 52|Sturmgewehr 52 (lang:en)
KAL1 General Purpose Infantry Rifle|KAL1 General Purpose Infantry Rifle (lang:en)",Different answer,major,SimpleQA/Qampari_wikitables_simple/00009.json
What is the date of birth of the Queen's lead guitarist Brian May,19 July 1947,1947-07-19T00:00:00Z,Same,1.0,ComplexQA/CompMix_infobox_complex/00132.json
What movie is the sequel of Ocean's Eleven?,Ocean's Twelve,Ocean's Twelve,Same,1.0,SimpleQA/CompMix_table_simple_qa/00091.json
How many matches did Thibaut Courtois played for Belgium national team,94,107,Temporal changes,major,ComplexQA/CompMix_table_complex/00281.json
Which weapons are of the type carbines ?,"AK-104 | Amogh carbine | Burnside carbine | CETME Model LC carbine | Colt Model 1839 Carbine | De Lisle carbine | G13 carbine | ""Jungle Carbine"" (Lee–Enfield, Rifle No. 5 Mk I) | K31 | Karabiner 98k | M1 carbine | M4 carbine | Maynard carbine | Mosin–Nagant (M1907 Carbine) | Mosin–Nagant (M1938 Carbine) | Mosin–Nagant (M1944 Carbine) | Mosin–Nagant (M1891/59 Carbine) | QBZ-95B | SG 443 Carbine | SKS | Stoner 63/63A Carbine | Swiss Mannlicher M1893 Carbine | Type 44 carbine","Carbine of the galley troops|Carbine of the galley troops (lang:en)
John F. Kennedy assassination rifle|John F. Kennedy assassination rifle (lang:en)
C42 Carbin 6.45mm-E2014|C42 Carbin 6.45mm-E2014 (lang:en)",Different answer,major,SimpleQA/Qampari_wikitables_simple/00017.json
What is the date of birth of the The Chronicles of Narnia writer C. S. Lewis,29 November 1898,1898-11-29T00:00:00Z,Same,1.0,ComplexQA/CompMix_infobox_complex/00038.json
What nation did Fabio Cannavaro represent in soccer?,Italy,Italy,Same,1.0,SimpleQA/CompMix_table_simple_qa/00115.json
How many matches has Franz Beckenbauer played for Germany national football team in 1965,3,0,Different answer,major,ComplexQA/CompMix_table_complex/00127.json
Which weapons are of the type combat shotgun ?,Armsel Striker | Atchisson AA-12 | Benelli M3 | Benelli M4 | Daewoo Precision Industries USAS-12 | Franchi SPAS-12 | Franchi SPAS-15 | M26 Modular Accessory Shotgun System | Remington Model 870 | Winchester Model 1200 | Winchester Model 1897 | Winchester Model 1912,"Armsel Striker|Armsel Striker (lang:en)
Franchi SPAS-15|Franchi SPAS-15 (lang:en)
Heckler & Koch FABARM FP6|Heckler & Koch FABARM FP6 (lang:en)
SPAS-12|SPAS-12 (lang:en)
Atchisson Assault Shotgun|Atchisson Assault Shotgun (lang:en)
Neostead|Neostead (lang:en)",Different answer,major,SimpleQA/Qampari_wikitables_simple/00048.json
What is the date of birth of the The Incredible Hulk's writer Zak Penn,23 March 1968,1968-03-23T00:00:00Z,Same,1.0,ComplexQA/CompMix_infobox_complex/00097.json
What novel did Charles Dickens wrote that preceded Oliver Twist?,The Pickwick Papers,The Pickwick Papers,Same,1.0,SimpleQA/CompMix_table_simple_qa/00095.json
How many matches has Jan Oblak played for Slovenia national football team in 2014,1,0,Different answer,major,ComplexQA/CompMix_table_complex/00129.json
Which weapons are of the type rocket launchers ?,Bazooka | C90-CR (M3) | FHJ-84 | LRAC F1 | M72 LAW | Nexter WASP 58 Light Anti-Armour Weapon | Panzerfaust 3 | Panzerschreck | PF-89 | PF-98 | Type 70 | VE-NILANGAL,"M79 Osa|M79 Osa (lang:en)
Javelot|Javelot (lang:en)
Offenror|Offenror (lang:en)
Qare'a|Qare'a (lang:en)
M1A1 Bazooka|M1A1 Bazooka (lang:en)
PHL-11|PHL-11 (lang:en)
PHL-03|PHL-03 (lang:en)
Type 70 self-propelled rocket launcher|Type 70 self-propelled rocket launcher (lang:en)
Teruel MRL|Teruel MRL (lang:en)
Zelzal-1|Zelzal-1 (lang:en)",Different answer,major,SimpleQA/Qampari_wikitables_simple/00031.json
What is the date of birth of the Wilder's husband Almanzo Wilder,13 February 1857,1857-02-13T00:00:00Z,Same,1.0,ComplexQA/CompMix_infobox_complex/00269.json
What was the name of Cara Gee's character on The Expanse?,Camina Drummer,Camina Drummer,Same,1.0,SimpleQA/CompMix_table_simple_qa/00322.json
How many members are there in the Indian Ocean band right now,5,1,Different answer,major,ComplexQA/CompMix_infobox_complex/00298.json
Who are the producers of the Coloratura song from the album Music of the Spheres?,"M. Martin, Holter, Rahko",Max Martin|Max Martin (lang:en),Higher accuracy in Table than in KG,major,SimpleQA/CompMix_table_simple_qa/00209.json
What is the date of birth of the soccer player Eden Hazard,7 January 1991,1991-01-07T00:00:00Z,Same,1.0,ComplexQA/CompMix_infobox_complex/00258.json
What was the name of English Singer who performed in Toosie Slide?,Drake,Drake,Same,1.0,SimpleQA/CompMix_table_simple_qa/00066.json
How many movies are there in the Home Alone franchise till 2021,6,5,Different answer,major,ComplexQA/CompMix_table_complex/00228.json
Who is Neymar's current soccer team?,Paris Saint-Germain F.C,Santos F.C.|Santos F.C. (lang:en),Different answer,major,SimpleQA/CompMix_table_simple_qa/00164.json
What is the date of publication of the novel Diary of a Wimpy Kid: Big Shot,26 October 2021,2021-10-26T00:00:00Z,Same,1.0,ComplexQA/CompMix_infobox_complex/00042.json
What was the name of author who wrote Things Fall Apart?,Chinua Achebe,Chinua Achebe,Same,1.0,SimpleQA/CompMix_table_simple_qa/00052.json
How many movies were in the Die Hard series before A Good Day to Die Hard came out in 2013,4,15,Different answer,major,ComplexQA/CompMix_table_complex/00007.json
Who is filming the Troy movie in which location?,Mexico. Malta,"Wolfgang Petersen|Morocco
Wolfgang Petersen|Malta
Wolfgang Petersen|Algeria
Wolfgang Petersen|Mexico",Higher accuracy in KG than in Table,major,SimpleQA/CompMix_table_simple_qa/00305.json
What is the difference in the number of years between the first and last VFL/AFL senior premiership won by Collingwood and the span for Richmond's AFL senior premierships,21,21,Same,1.0,ComplexQA/Sportsreason_TANQ_complex/00140.json
What was the name of the character played by Brad Pitt in the movie Fight Club?,Tyler Durden,Tyler Durden,Same,1.0,SimpleQA/CompMix_table_simple_qa/00157.json
How many of the teams with Victorian Football League or Australian Football League Grand Finalist history listed in the provided tables also participated in a Grand Final won by Fitzroy Football Club,1,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00062.json
Who is or was a member of the 10cc band ?,"Graham Gouldman | Paul Burgess | Rick Fenn | Eric Stewart | Laurence ""Lol"" Creme | [[Tony OMalley (musician)|Tony OMalley]] | Vic Emerson | Gary Wallis | Mike Stevens","Iain Hornal|Iain Hornal (lang:en)
Lol Creme|Lol Creme (lang:en)
Kevin Godley|Kevin Godley (lang:en)
Mike Stevens|Mike Stevens (lang:en)
Paul Burgess|Paul Burgess (lang:en)
Graham Gouldman|Graham Gouldman (lang:en)
Eric Stewart|Eric Stewart (lang:en)
Stuart Tosh|Stuart Tosh (lang:en)
Duncan Mackay|Duncan Mackay (lang:en)
Rick Fenn|Rick Fenn (lang:en)",Different answer,major,SimpleQA/Qampari_wikitables_simple/00015.json
What is the film which won Cate Blanchett the Oscar for best actress in 2014,Blue Jasmine,Blue Jasmine,Same,1.0,ComplexQA/CompMix_table_complex/00063.json
What was the subtitle of the book Jane Eyre?,An Autobiography,An Autobiography,Same,1.0,SimpleQA/CompMix_table_simple_qa/00311.json
How many provinces are in the country that has a Malaysian Diplomatic Consulate mission in the city that lies near the mouth of the Kelantan River,76,0,Different answer,major,ComplexQA/OTT_QA_dev_complex/00172.json
Who is the Head coach of the Real Madrid CF?,Carlo Ancelotti,Álvaro Arbeloa|Álvaro Arbeloa (lang:en),Different answer,major,SimpleQA/CompMix_table_simple_qa/00060.json
What is the genre of the tv series On the Wings of Love,romantic comedy,romantic comedy,Same,1.0,ComplexQA/CompMix_infobox_complex/00152.json
Which RoboCop original trilogy movies featured Peter Weller as Robocop?,RoboCop;RoboCop 2,RoboCop|RoboCop 2,Same,1.0,SimpleQA/CompMix_table_simple_qa/00125.json
How many residents does the capital city of the country represented by the 2015 Kangaroo Cup single 's player to finally retire in Sept 2017 have,38 million,14264798.0,Different answer,major,ComplexQA/OTT_QA_dev_complex/00162.json
Who is the Skyfall movie's hero?,Daniel Craig,James Bond|James Bond (lang:en),Different answer,major,SimpleQA/CompMix_table_simple_qa/00051.json
What is the language of work of the book The Little Prince,French,French,Same,1.0,ComplexQA/CompMix_infobox_complex/00285.json
Which actor plays Robby Keene in Cobra Kai?,Tanner Buchanan,Tanner Buchanan,Same,1.0,SimpleQA/CompMix_table_simple_qa/00206.json
How many senior premierships did Richmond win in the VFL/AFL competition in years later than Collingwood's first senior premiership year in the same competition,13,,Higher accuracy in Table than in KG,major,ComplexQA/Sportsreason_TANQ_complex/00179.json
Who is the author of the The Invisible Man ?,Ralph Ellison,H. G. Wells,Different answer,major,SimpleQA/CompMix_table_simple_qa/00168.json
What is the language of work of the book The Name of the Rose,Italian,Italian,Same,1.0,ComplexQA/CompMix_infobox_complex/00082.json
"Which actor portrayed Uncle Phil on the ""Fresh Prince of Bel-Air?""",James Avery,James Avery,Same,1.0,SimpleQA/CompMix_table_simple_qa/00130.json
How many songs were on the album Pieces of You by Jewel,14,0,Different answer,major,ComplexQA/CompMix_table_complex/00258.json
Who is the current head coach of Chicago Fire?,Ezra Hendrickson,Gregg Berhalter|Gregg Berhalter (lang:en),Different answer,major,SimpleQA/CompMix_table_simple_qa/00040.json
What is the name of the actor who played the lead character role in the Bourne series,Matt Damon,Matt Damon,Same,1.0,ComplexQA/CompMix_infobox_complex/00019.json
"Which actress played the lead role in the TV series, Buffy the Vampire Slayer?",Sarah Michelle Gellar,Sarah Michelle Gellar,Same,1.0,SimpleQA/CompMix_table_simple_qa/00318.json
How many states are served by the Air-rail alliance train company that stops at the first major airport in the New York metropolitan area,46,0,Different answer,major,ComplexQA/OTT_QA_dev_complex/00390.json
Who is the main character in the film Shawshank Redemption?,Tim Robbins,Andy Dufresne,Different answer,major,SimpleQA/CompMix_table_simple_qa/00028.json
What is the name of the actor who played the lead role in the series Joey,Matt LeBlanc,Matt LeBlanc,Same,1.0,ComplexQA/CompMix_infobox_complex/00037.json
Which actress plays Veronica Vaughn in Billy Madison?,Bridgette Wilson,Bridgette Wilson,Same,1.0,SimpleQA/CompMix_table_simple_qa/00193.json
How many teams were there in the 2021-2022 season of the Scottish Cup,113,42.0,Different answer,major,ComplexQA/CompMix_table_complex/00185.json
Who is the spouse of Rudyard Kipling?,Caroline Starr Balestier Kipling,Caroline Starr Balestier,Higher accuracy in Table than in KG,major,SimpleQA/CompMix_table_simple_qa/00235.json
What is the name of the actress playing the role of Carrie Mathison in Homeland,Claire Danes,Claire Danes,Same,1.0,ComplexQA/CompMix_infobox_complex/00065.json
Which country did Francesco Totti represent?,Italy,Italy,Same,1.0,SimpleQA/CompMix_table_simple_qa/00249.json
How many terms were served that were by the party with members in the Rajya Sabha from Maharashtra since 1952 once led by Ghandi,10,0,Different answer,major,ComplexQA/OTT_QA_dev_complex/00394.json
Who is the top goal scorer of the football club Borussia Dortmund?,Alfred Preissler,Manfred Burgsmüller|Manfred Burgsmüller (lang:en)|135.0,Different answer,major,SimpleQA/CompMix_table_simple_qa/00220.json
What is the name of the actress who won the Academy Award in 2014 instead of Sandra Bullock,Cate Blanchett,Cate Blanchett,Same,1.0,ComplexQA/CompMix_table_complex/00024.json
Which country did Gabriel Batistuta play football for?,Argentina,Argentina,Same,1.0,SimpleQA/CompMix_table_simple_qa/00188.json
"How many times did Lewis Hamilton achieve pole position at the Canadian Grand Prix in the years 2016 or later, based on the available qualifying results",1,2,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00199.json
Who is the youngest player playing for Germany National Football Team?,Kai Havertz,Tom Bischof|2005-06-28T00:00:00Z,Different answer,major,SimpleQA/CompMix_table_simple_qa/00101.json
What is the name of the author of the book Treasure Island,Robert Louis Stevenson,Robert Louis Stevenson,Same,1.0,ComplexQA/CompMix_infobox_complex/00283.json
Which country does Johan Cruyff play football for?,Netherlands,Netherlands,Same,1.0,SimpleQA/CompMix_table_simple_qa/00191.json
How many titles has Bethlehem Steel won in the US Open Cup,5,4,Different answer,major,ComplexQA/CompMix_table_complex/00234.json
Who major event Shakira?,"The Sun Comes Out World Tour, Tour of the Mongoose, Tour Anfibio","The Sun Comes Out World Tour|The Sun Comes Out World Tour (lang:en)
Tour Anfibio|Tour Anfibio (lang:en)
Oral Fixation Tour|Oral Fixation Tour (lang:en)
Tour Pies Descalzos|Tour Pies Descalzos (lang:en)
parturition|childbirth (lang:en)
Tour of the Mongoose|Tour of the Mongoose (lang:en)",Higher accuracy in KG than in Table,major,SimpleQA/CompMix_table_simple_qa/00200.json
What is the name of the book that comes after the book Killing Floor in the Jack Reacher series,Die Trying,Die Trying,Same,1.0,ComplexQA/CompMix_table_complex/00015.json
Which country does the soccer player Alessandro Del Piero represent?,Italy,Italy,Same,1.0,SimpleQA/CompMix_table_simple_qa/00142.json
How many titles has Chicago Fire FC won in the US Open Cup,4,0,Different answer,major,ComplexQA/CompMix_table_complex/00173.json
Who owns the club Paris Saint-Germain F.C.?,Tamim bin Hamad Al Thani,Qatar Sports Investments,Different answer,major,SimpleQA/CompMix_table_simple_qa/00323.json
