question,gold_answer,KG answer,taxonomy_label,sparql,confidence,source
What are the different extinct dog breeds ?,Alaunt | Alpine Mastiff | Belgian Mastiff | Blue Paul Terrier | Braque Dupuy | Bull and terrier | Bullenbeisser | Chien-gris | Chiribaya Dog | Cordoba Fighting Dog | Cumberland Sheepdog | Cur | Dalbo dog | Dogo cubano | English Water Spaniel | English White Terrier | Fila da Terceira | Hare Indian Dog | Hawaiian Poi Dog | Kurī | Lapponian Shepherd | Limer | Marquesan Dog | Moscow Water Dog | Norfolk Spaniel | North Country Beagle | Old Croatian Sighthound | Old English Bulldog | Old Spanish Pointer | Paisley Terrier | Polynesian Dog | Rache | Rastreador Brasileiro | Russian Tracker | [[St. Johns water dog|St Johns water dog]] | Sakhalin Husky (Karafuto Ken in Japan) | Salish Wool Dog | Southern Hound | Staghound | Tahitian Dog | Talbot Hound | Toy Bulldog | Toy Trawler Spaniel | Turnspit dog | Tweed Water Spaniel | Welsh Hillman,wd:Q136823142|,Different answer,"SELECT DISTINCT ?breed ?breedLabel WHERE {
  ?breed wdt:P31 / wdt:P279 * wd:Q39367 .
  ?breed wdt:P8556 ?extinctionDate .
  OPTIONAL {
    ?breed rdfs:label ?breedLabel .
    FILTER(LANG(?breedLabel) = ""en"")
  }
}
LIMIT 50",major,SimpleQA/Qampari_wikitables_simple/00061.json
What is the Publication date of the Second book of the series His Dark Materials,22 July 1997,1997-01-01T00:00:00Z,Higher accuracy in Table than in KG,"SELECT ?publicationDate WHERE {
  wd:Q472208 wdt:P577 ?publicationDate .
}",0.8000000000000002,ComplexQA/CompMix_table_complex/00090.json
where did the last name edwards come from,England | Wales | Scotland,England,Higher accuracy in Table than in KG,"SELECT ?countryLabel WHERE {
  wd:Q2691159 wdt:P407 / wdt:P17 wd:Q145 .
  wd:Q145 wdt:P150 ?subCountry .
  ?subCountry rdfs:label ?countryLabel .
  FILTER(LANG(?countryLabel) = 'en' && CONTAINS(?countryLabel , 'England'))
}",0.8918616807726023,SimpleQA/NQ_table_test_simple/00179.json
"How many Olympic teams did the Men 's 1997 European Judo Championships athlete compete in , whose country is located mostly on the Anatolian peninsula",three,0,Different answer,"SELECT(COUNT(DISTINCT ?olympics) AS ?count) WHERE {
  ?athlete wdt:P1344 wd:Q2775602 .
  ?athlete wdt:P1532 wd:Q43 .
  ?athlete wdt:P1344 ?olympics .
  ?olympics wdt:P31 wd:Q202125 .
}",major,ComplexQA/OTT_QA_dev_complex/00241.json
What are the different women wrestling promotions ?,[[Actwres girlZ]] | Ice Ribbon | Ladies Legend Pro-Wrestling | Oz Academy | Pro Wrestling Wave | [[Sendai Girls Pro Wrestling]] | Tokyo Joshi Pro Wrestling | World Wonder Ring Stardom | [[All Japan Womens Pro-Wrestling]] | Arsion | Gaea Japan | [[JDStar|Jd]] | JWP Joshi Puroresu,"Sendai Girls' Pro Wrestling|Sendai Girls' Pro Wrestling (lang:en)
Dream Star Fighting Marigold|Dream Star Fighting Marigold (lang:en)
Shine Wrestling|Shine Wrestling (lang:en)
Marvelous That's Women Pro Wrestling|Marvelous That's Women Pro Wrestling (lang:en)
Tokyo Joshi Pro Wrestling|Tokyo Joshi Pro Wrestling (lang:en)
Pro Wrestling Wave|Pro Wrestling Wave (lang:en)
World Wonder Ring Stardom|World Wonder Ring Stardom (lang:en)",Different answer,"SELECT ?promotion ?label WHERE {
  ?promotion wdt:P31 wd:Q721067 .
  ?promotion wdt:P641 wd:Q11446353 .
  ?promotion rdfs:label ?label .
  FILTER(lang(?label) = ""en"")
}",major,SimpleQA/Qampari_wikitables_simple/00043.json
What is the publication date of the second book The Subtle Knife of the series His Dark Materials,22 July 1997,1997-01-01T00:00:00Z,Higher accuracy in Table than in KG,"SELECT ?publicationDate WHERE {
  wd:Q472208 wdt:P577 ?publicationDate .
}",0.8000000000000002,ComplexQA/CompMix_infobox_complex/00014.json
who starred in the movie summer of 42,Jennifer O'Neill | Gary Grimes | Jerry Houser | Oliver Conant,Jennifer O'Neill|Gary Grimes|Jerry Houser|Lou Frizzell|Christopher Norris|Oliver Conant,Higher accuracy in KG than in Table,"SELECT ?actor WHERE {
  wd:Q1781831 wdt:P161 ?actor
}",0.8883669204177446,SimpleQA/NQ_table_test_simple/00613.json
How many World Cup titles the Italy national football team has before winning it again in 2006,3,0,Different answer,"SELECT(COUNT(*) AS ?count) WHERE {
  ?cup wdt:P31 wd:Q19317 ; wdt:P1346 wd:Q676899 ; wdt:P582 ?endDate .
  FILTER(YEAR(?endDate) < 2006)
}",major,ComplexQA/CompMix_table_complex/00043.json
What are the discovered ring galaxies ?,Cartwheel Galaxy | NGC 6028 | [[Hoags Object]] | NGC 1512 | NGC 1433 | NGC 1533 | NGC 1350 | NGC 1386 | NGC 1387 | NGC 4622 | NGC 7217 | II Zw 28 | [[Mayalls Object]] | Arp 147 | NGC 4650A | NGC 660 | NGC 922 | LEDA 1000714 | NGC 1142 | NGC 3081 | NGC 7020 | NGC 7552 | NGC 7742,"NGC 985|NGC 985 (lang:en)
NGC 1015|NGC 1015 (lang:en)
PGC 16572|PGC 16572 (lang:en)
Cartwheel galaxy|Cartwheel galaxy (lang:en)
NGC 6028|NGC 6028 (lang:en)
PGC 1000714|PGC 1000714 (lang:en)
PGC 1000714|PGC 1000714 (lang:en)
AM 0644-741|AM 0644-741 (lang:en)
Hoag's Object|Hoag's Object (lang:en)
Hoag's Object|Hoag's Object (lang:en)",Different answer,"SELECT ?galaxy ?label WHERE {
  ?galaxy wdt:P31 / wdt:P279 * wd:Q752374 .
  OPTIONAL {
    ?galaxy rdfs:label ?label .
    FILTER(LANG(?label) = ""en"")
  }
  FILTER(bound(?label))
}",major,SimpleQA/Qampari_wikitables_simple/00004.json
What was the publication date of the book Adventures of Huckleberry Finn,"December 10, 1884",1884-01-01T00:00:00Z,Higher accuracy in Table than in KG,"SELECT ?date WHERE {
  wd:Q215410 wdt:P577 ?date .
}",0.8000000000000002,ComplexQA/CompMix_infobox_complex/00278.json
Which country did Ronaldinho play for?,Brazil,France|Brazil|Spain|Italy|Mexico,Higher accuracy in KG than in Table,"SELECT ?country ?countryLabel WHERE {
  wd:Q39444 wdt:P54 / wdt:P17 ?country .
  ?country rdfs:label ?countryLabel .
  FILTER(LANG(?countryLabel) = ""en"")
}
GROUP BY ?country ?countryLabel",0.8554703073716792,SimpleQA/CompMix_table_simple_qa/00148.json
How many appearance did the American goalkeeper Sean Johnson make with the US men's national soccer team in 2011,1,0,Different answer,"SELECT(COUNT(?match) AS ?appearances) WHERE {
  wd:Q2458826 wdt:P1344 ?match .
  ?match wdt:P585 ?date ; wdt:P710 wd:Q207894 .
  FILTER(YEAR(?date) = 2011)
}",major,ComplexQA/CompMix_table_complex/00009.json
What are the existing recoilless rifles ?,M18 Recoilless Rifle | SPG-9 | M20 | Breda Folgore | B-10 | 55 S 55 | RCL 3.45 inch Gun | M67 | 95 S 58-61 | LG 40 | LG 42 | M40 | Model 1968 recoilless gun | B-11 | Jagdfaust | M28/M29 Nuclear Recoilless Rifle,"105 mm recoilless rifle|105 mm recoilless rifle (lang:en)
120 mm recoilless rifle|120 mm recoilless rifle (lang:en)
75 mm recoilless rifle|75 mm recoilless rifle (lang:en)
82 mm recoilless rifle|82 mm recoilless rifle (lang:en)
90 mm recoilless rifle|90 mm recoilless rifle (lang:en)
Model 1968 recoilless gun|Model 1968 recoilless gun (lang:en)
Ordnance, RCL, 3.45 in|Ordnance, RCL, 3.45 in (lang:en)
RCL 3.7-inch|RCL 3.7-inch (lang:en)
recoilless personal anti-tank weapon|recoilless personal anti-tank weapon (lang:en)
self-propelled recoilless rifle|self-propelled recoilless rifle (lang:en)",Different answer,"SELECT DISTINCT ?item ?label WHERE {
  ?item wdt:P279 + wd:Q641196 .
  OPTIONAL {
    ?item rdfs:label ?label
    FILTER(lang(?label) = ""en"")
    .
  }
  FILTER(CONTAINS(LCASE(?label) , ""recoilless"") || CONTAINS(LCASE(?label) , ""rcl""))
}
ORDER BY ?label",major,SimpleQA/Qampari_wikitables_simple/00060.json
When did The United States Soccer Federation become affiliated and a full member with FIFA,1914,1914-06-27T00:00:00Z,Higher accuracy in KG than in Table,"SELECT ?date WHERE {
  wd:Q222131 p:P463 ?statement .
  ?statement ps:P463 wd:Q253414 .
  ?statement pq:P580 ?date .
}",0.8000000000000002,ComplexQA/CompMix_table_complex/00071.json
who is the owner of the mandalay bay in vegas,MGM Resorts International,Mandalay Resort Group|MGM Resorts International,Higher accuracy in KG than in Table,"SELECT ?owner ?ownerLabel WHERE {
  wd:Q1368043 wdt:P127 ?owner .
  OPTIONAL {
    ?owner rdfs:label ?ownerLabel
    FILTER(lang(?ownerLabel) = ""en"")
  }
}",0.8539071399899104,SimpleQA/NQ_table_test_simple/00520.json
"How many baseball games involving the Boston Red Sox were played at Fenway Park across the 1975 American League Championship Series, the 2013 American League Championship Series, and the 2018 World Series",7,0,Different answer,"SELECT(COUNT(DISTINCT ?game) AS ?count) WHERE {
  {
    ?game wdt:P361 wd:Q3511178 .
    ?game wdt:P276 wd:Q49136 .
    ?game wdt:P710 wd:Q213959 .
  } UNION {
    ?game wdt:P361 wd:Q14870260 .
    ?game wdt:P276 wd:Q49136 .
    ?game wdt:P710 wd:Q213959 .
  } UNION {
    ?game wdt:P361 wd:Q56692089 .
    ?game wdt:P276 wd:Q49136 .
    ?game wdt:P710 wd:Q213959 .
  }
}",major,ComplexQA/Sportsreason_TANQ_complex/00054.json
What are the hotels with at least 2000 rooms ?,"The Venetian Resort Las Vegas (The Venetian Las Vegas and The Palazzo) | MGM Grand Las Vegas and The Signature | CityCenter | The Londoner Macao | Abraj Al Bait | Izmailovo Hotel | Wynn Las Vegas and Encore Las Vegas | Mandalay Bay, Delano and Four Seasons | Luxor Las Vegas | Ambassador City Jomtien | Excalibur Hotel and Casino | Caesars Palace | Bellagio | Hilton Hawaiian Village | Circus Circus Las Vegas | Resorts World Las Vegas | The Mirage | Westgate Las Vegas | Paris Las Vegas | The Venetian Macao | [[Ballys Las Vegas]] | Borgata | [[Harrahs Atlantic City]] | [[Harrahs Las Vegas]] | Planet Hollywood Las Vegas | The Strat Las Vegas | Golden Nugget Las Vegas | Foxwoods Resort Casino | The Linq | Galaxy Macau | City of Dreams | Orlando World Center Marriott","Hotel Lisboa Macau|Hotel Lisboa Macau (lang:en)|2362.0
Ezdan Hotel, West Bay|Ezdan Hotel, West Bay (lang:en)|3000.0
Planet Hollywood Resort & Casino|Planet Hollywood Resort & Casino (lang:en)|2500.0
Treasure Island Hotel and Casino|Treasure Island Hotel and Casino (lang:en)|2885.0
Mandalay Bay|Mandalay Bay (lang:en)|3309.0
Bellagio Hotel & Casino|Bellagio Hotel & Casino (lang:en)|3933.0
Marina Bay Sands|Marina Bay Sands (lang:en)|2561.0
MGM Grand Las Vegas|MGM Grand Las Vegas (lang:en)|6852.0
The Mirage|The Mirage (lang:en)|3044.0",Higher accuracy in Table than in KG,"SELECT ?hotel ?label ?rooms WHERE {
  ?hotel wdt:P31 wd:Q27686 .
  ?hotel wdt:P8733 ?rooms .
  FILTER(?rooms >= 2000)
  .
  ?hotel rdfs:label ?label .
  FILTER(LANG(?label) = ""en"")
}",major,SimpleQA/Qampari_wikitables_simple/00068.json
"When was Angels & Demons, the first book in the Robert Landon series, published",01 May 2000,2000-01-01T00:00:00Z,Higher accuracy in Table than in KG,"SELECT ?date WHERE {
  wd:Q182502 wdt:P577 ?date .
}",0.8000000000000002,ComplexQA/CompMix_table_complex/00109.json
who wrote and performed i can only imagine,Bart Millard | MercyMe,Bart Millard|Susan Boyle|MercyMe,Higher accuracy in KG than in Table,"SELECT ?composer ?composerLabel ?performer ?performerLabel WHERE {
  wd:Q5976590 wdt:P86 ?composer .
  wd:Q5976590 wdt:P175 ?performer .
  OPTIONAL {
    ?composer rdfs:label ?composerLabel
    FILTER(LANG(?composerLabel) = ""en"")
  }
  OPTIONAL {
    ?performer rdfs:label ?performerLabel
    FILTER(LANG(?performerLabel) = ""en"")
  }
}",0.8536004224024106,SimpleQA/NQ_table_test_simple/00682.json
"How many championships were won by the Chinese football club whose home stadium is the Workers ' Stadium with a seating capacity of 66,161",7,0,Different answer,"SELECT(COUNT(*) AS ?count) WHERE {
  ?season wdt:P31 / wdt:P279 * wd:Q2020029 ; wdt:P361 / wdt:P279 * wd:Q188482 ; wdt:P1346 wd:Q814738 .
}",major,ComplexQA/OTT_QA_dev_complex/00373.json
What are the named spirals ?,Archimedean spiral | Euler spiral | [[Fermats spiral]] (also parabolic spiral) | [[Cotess spiral]] | [[Poinsots spirals]],"Tadpole Galaxy|Tadpole Galaxy (lang:en)
Triangulum Galaxy|Triangulum Galaxy (lang:en)
Whirlpool Galaxy|Whirlpool Galaxy (lang:en)
Sunflower Galaxy|Sunflower Galaxy (lang:en)
Black Eye Galaxy|Black Eye Galaxy (lang:en)
Comet Galaxy|Comet Galaxy (lang:en)
Andromeda Galaxy|Andromeda Galaxy (lang:en)
Sculptor Galaxy|Sculptor Galaxy (lang:en)
Sombrero Galaxy|Sombrero Galaxy (lang:en)",Different answer,"SELECT DISTINCT ?item ?name WHERE {
  ?item wdt:P31 / wdt:P279 * wd:Q2488 .
  OPTIONAL {
    ?item rdfs:label ?name .
    FILTER(LANG(?name) = ""en"")
  }
  OPTIONAL {
    ?item skos:altLabel ?name .
    FILTER(LANG(?name) = ""en"")
  }
  FILTER(BOUND(?name))
  FILTER(REGEX(?name , ""Sombrero|Whirlpool|Pinwheel|Surfboard|Andromeda|Centaurus|Triangulum|Cartwheel|Black Eye|Sunflower|Cigar|Comet|Butterfly|Antennae|Tadpole|Sculptor|Sailboat"" , ""i""))
}
LIMIT 15",major,SimpleQA/Qampari_wikitables_simple/00057.json
"When was the final James Bond Movie, No Time to Die released in theaters",2021,2021-09-28T00:00:00Z,Higher accuracy in KG than in Table,"SELECT ?releaseDate WHERE {
  wd:Q21534241 wdt:P577 ?releaseDate .
}
ORDER BY ?releaseDate
LIMIT 1",0.8000000000000002,ComplexQA/CompMix_infobox_complex/00078.json
who starred in the movie romancing the stone,Michael Douglas | Kathleen Turner | Danny DeVito | Alfonso Arau | Manuel Ojeda,Kymberly Herrin|Michael Douglas|Kathleen Turner|Holland Taylor|Danny DeVito|Ted White|Mary Ellen Trainor|Alfonso Arau|Manuel Ojeda,Higher accuracy in KG than in Table,"SELECT ?actor ?actorLabel WHERE {
  wd:Q502629 wdt:P161 ?actor .
  OPTIONAL {
    ?actor rdfs:label ?actorLabel
    FILTER(LANG(?actorLabel) = ""en"")
    .
  }
}",0.8318933454754479,SimpleQA/NQ_table_test_simple/00920.json
How many children did the director of Willy Wonka and the Chocolate Factory have,3,0,Different answer,"SELECT(COUNT(?child) AS ?count) WHERE {
  wd:Q1380505 wdt:P40 ?child
}",major,ComplexQA/CompMix_infobox_complex/00101.json
What are the professional wrestling memorial shows since 1980?,"Mike Marino Memorial Shield | Von Erich Memorial Parade of Champions | Eddie Graham Memorial Show | Bruiser Brody Memorial Show | [[Starrcade (1990)|Pat OConnor Memorial International Cup Tag Team Tournament]] | Ilio DiPaolo Memorial Show | Eddie Gilbert Memorial Brawl | Eddie Gilbert Memorial Show | Plum Mariko Memorial Show | Brian Pillman Memorial Show | Curtis Comes Home | Gary Albright Memorial Show | Mark Curtis Memorial Weekend of Champions | Giant Baba Memorial Spectacular | Terry Gordy Memorial Show | Yokozuna Memorial Show | Giant Baba Memorial Six Man Tag Team Tournament | Big Dick Dudley Memorial Show | Jeff Peterson Memorial Cup | Mike Lockwood Memorial Show | Fred Ward Memorial Show | Mike Lockwood Memorial Tournament | Mark Curtis Memorial Reunion | Chris Candido Memorial Show | Bruiser Brody Memorial Cup | Shinya Hashimoto Memorial Six-Man Tag Team Tournament | Pitbull/Public Enemy Tag Team Memorial Cup | Eddie Graham Memorial Battle of the Belts | Sensational Sherri Memorial Cup Tournament | Shinya Hashimoto Memorial Legacy Cup Tournament | Walter ""Killer"" Kowalski Memorial Show | Dennis Coralluzzo Invitational | A Nightmare To Remember","Gary Albright Memorial Show|Gary Albright Memorial Show (lang:en)|2000-04-19T00:00:00Z
Terry Gordy Memorial Show|Terry Gordy Memorial Show (lang:en)|2001-08-11T00:00:00Z
Yokozuna Memorial Show|Yokozuna Memorial Show (lang:en)|2001-11-29T00:00:00Z
Big Dick Dudley Memorial Show|Big Dick Dudley Memorial Show (lang:en)|2002-01-01T00:00:00Z
Mike Lockwood Memorial Show|Mike Lockwood Memorial Show (lang:en)|2003-11-15T00:00:00Z
Fred Ward Memorial Show|Fred Ward Memorial Show (lang:en)|2004-01-01T00:00:00Z
Eddie Graham Memorial Battle of the Belts|Eddie Graham Memorial Battle of the Belts (lang:en)|2007-01-01T00:00:00Z
Killer Kowalski Memorial Show|Killer Kowalski Memorial Show (lang:en)|2008-10-26T00:00:00Z",Higher accuracy in Table than in KG,"SELECT DISTINCT ?event ?eventLabel ?date WHERE {
  ?event rdfs:label ?eventLabel .
  FILTER(LANG(?eventLabel) = ""en"")
  .
  FILTER(REGEX(?eventLabel , ""memorial.*(wrestling|battle|show)|wrestling.*memorial"" , ""i""))
  .
  ?event wdt:P585 ?date .
  FILTER(?date >= ""1980-01-01T00:00:00Z"" ^^ xsd:dateTime)
}
ORDER BY ?date",major,SimpleQA/Qampari_wikitables_simple/00035.json
Who is the screenwriter  of the second part Dead Man's Chest in the flim Pirates of the Caribbean,Terry Rossio,Terry Rossio|Ted Elliott,Higher accuracy in KG than in Table,"SELECT ?screenwriter ?name WHERE {
  wd:Q161087 wdt:P58 ?screenwriter .
  ?screenwriter rdfs:label ?name .
  FILTER(LANG(?name) = ""en"")
  .
}",0.7951369712859188,ComplexQA/CompMix_table_complex/00027.json
What actress played Rose in Titanic?,Kate Winslet,Kate Winslet|Gloria Stuart,Higher accuracy in KG than in Table,"SELECT ?actor WHERE {
  wd:Q44578 p:P161 ?cast .
  ?cast ps:P161 ?actor .
  ?cast pq:P453 wd:Q4892194 .
}",0.827275950606704,SimpleQA/CompMix_table_simple_qa/00251.json
How many events for men at the 1956 Summer Olympics were held for this competition that took place at the venue damaged during the 1991 fire,six for men,0,Different answer,"SELECT(COUNT(*) AS ?count) WHERE {
  ?event wdt:P361 wd:Q8411 ; wdt:P2094 wd:Q18345817 ; wdt:P276 wd:Q330136 .
  ?venue wdt:P1533 ?fireEvent .
  ?fireEvent wdt:P585 ?date .
  FILTER(YEAR(?date) = 1991)
  .
}",major,ComplexQA/OTT_QA_dev_complex/00217.json
What are the promotion names of women wrestling promotions ?,Shimmer Women Athletes | Shine Wrestling | Women of Wrestling | Women Superstars United | ChickFight | Gorgeous Ladies of Wrestling | Ladies Major League Wrestling | Ladies Professional Wrestling Association | [[Naked Womens Wrestling League]] | Powerful Women of Wrestling | Rise Wrestling | [[World Womens Wrestling]] | Wrestlicious,"Sendai Girls' Pro Wrestling|Sendai Girls' Pro Wrestling (lang:en)
Dream Star Fighting Marigold|Dream Star Fighting Marigold (lang:en)
Shine Wrestling|Shine Wrestling (lang:en)
Marvelous That's Women Pro Wrestling|Marvelous That's Women Pro Wrestling (lang:en)
Tokyo Joshi Pro Wrestling|Tokyo Joshi Pro Wrestling (lang:en)
Pro Wrestling Wave|Pro Wrestling Wave (lang:en)
World Wonder Ring Stardom|World Wonder Ring Stardom (lang:en)",Different answer,"SELECT ?promotion ?label WHERE {
  ?promotion wdt:P31 wd:Q721067 .
  ?promotion wdt:P641 wd:Q11446353 .
  ?promotion rdfs:label ?label .
  FILTER(LANG(?label) = ""en"")
}",major,SimpleQA/Qampari_wikitables_simple/00021.json
Who were the main actors in The Sting that won an Academy Award for Best Picture over American Graffiti,Paul Newman;Robert Redford;Robert Shaw,Robert Redford,Higher accuracy in Table than in KG,"SELECT ?actor ?actorLabel WHERE {
  wd:Q62665 wdt:P161 ?actor .
  VALUES ?actor {
    wd:Q321 wd:Q59215
  }
  ?actor rdfs:label ?actorLabel .
  FILTER(LANG(?actorLabel) = 'en')
  .
}",0.786060394556888,ComplexQA/CompMix_infobox_complex/00005.json
Who played the role of Jonas Kahnwald as teen in Dark?,Louis Hofmann,Andreas Pietschmann|Louis Hofmann,Higher accuracy in KG than in Table,"SELECT ?actor WHERE {
  wd:Q28443710 p:P161 ?statement .
  ?statement ps:P161 ?actor ; pq:P453 wd:Q65921603 .
}",0.8061449547438378,SimpleQA/CompMix_table_simple_qa/00140.json
How many games Kevin De Bruyne played for Belgium national football team,88,115.0,Temporal changes,"SELECT ?appearances WHERE {
  wd:Q357984 p:P54 ?statement .
  ?statement ps:P54 wd:Q166776 .
  ?statement pq:P1350 ?appearances .
}",major,ComplexQA/CompMix_table_complex/00196.json
What award did Ellen DeGeneres receive for playing Dory with the category Favorite Animated Movie Voice?,People's Choice Award,Annie Award for Voice Acting in a Feature Production (lang:en),Different answer,"SELECT ?awardLabel WHERE {
  wd:Q483325 wdt:P166 ?award .
  ?award rdfs:label ?awardLabel .
  FILTER(LANG(?awardLabel) = ""en"")
  FILTER(CONTAINS(LCASE(?awardLabel) , ""annie"") && CONTAINS(LCASE(?awardLabel) , ""voice""))
}",major,SimpleQA/CompMix_table_simple_qa/00084.json
Which famous singer was a member of the bands Aerosmith and Chain Reaction,Steven Tyler,Steven Tyler|Joe Perry,Higher accuracy in KG than in Table,"SELECT ?singer ?label WHERE {
  ?singer wdt:P463 wd:Q126826 .
  ?singer wdt:P106 wd:Q177220 .
  ?singer rdfs:label ?label .
  FILTER(LANG(?label) = 'en')
  .
}",0.7843745559183132,ComplexQA/CompMix_infobox_complex/00130.json
Another name of Chelsea F.C. was?,The Blues,The Blues|The Pensioners,Higher accuracy in KG than in Table,"SELECT ?alias WHERE {
  wd:Q9616 wdt:P1449 ?alias
}",0.8001881685787937,SimpleQA/CompMix_table_simple_qa/00183.json
How many games did the 2013 New York Yankees American League Wild Card team who lost more than 100 games win against their rivals,2,0,Different answer,"SELECT(COUNT(*) AS ?count) WHERE {
  wd:Q276815 wdt:P1355 ?wins ; wdt:P1356 ?losses
  FILTER(?losses > 100)
  .
}",major,ComplexQA/OTT_QA_dev_complex/00334.json
What awards are national quality award ?,Canada Awards for Excellence | Deming Prize | EFQM Excellence Award | Malcolm Baldrige National Quality Award | Philippine Quality Award | Rajiv Gandhi National Quality Award | Singapore Business Excellence Awards | Thailand Quality Award,"Rajiv Gandhi National Quality Award|Rajiv Gandhi National Quality Award (lang:en)
Malcolm Baldrige National Quality Award|Malcolm Baldrige National Quality Award (lang:en)
Viet Nam National Quality Award|Viet Nam National Quality Award (lang:en)",Different answer,"SELECT ?award ?label WHERE {
  ?award wdt:P31 / wdt:P279 * wd:Q618779 .
  ?award rdfs:label ?label .
  FILTER(LANG(?label) = ""en"")
  .
  FILTER(CONTAINS(LCASE(?label) , ""national quality award""))
}",major,SimpleQA/Qampari_wikitables_simple/00010.json
Who is the Original Broadcaster of Season 1 of the tv series The Tunnel,Sky Atlantic,Canal+|Sky Atlantic,Higher accuracy in KG than in Table,"SELECT ?broadcaster WHERE {
  wd:Q15104549 wdt:P449 ?broadcaster
}",0.7730610134762542,ComplexQA/CompMix_table_complex/00123.json
when did first fast and furious come out,2001,2001-06-22T00:00:00Z,Higher accuracy in KG than in Table,"SELECT ?date WHERE {
  wd:Q155476 wdt:P577 ?date .
}",0.8000000000000002,SimpleQA/NQ_table_test_simple/00962.json
"How many games did the Boston Red Sox play across the 1975 American League Championship Series, the 2013 American League Championship Series, and the 2018 World Series",14,0,Different answer,"SELECT(SUM(xsd:integer(?wins) + xsd:integer(?losses)) AS ?totalGames) WHERE {
  VALUES ?series {
    wd:Q253000 wd:Q278844 wd:Q5145502
  }
  ?series p:P1532 ?participantStatement .
  ?participantStatement ps:P1532 wd:Q166634 .
  ?participantStatement pq:P5049 ?wins .
  ?participantStatement pq:P5050 ?losses .
}",major,ComplexQA/Sportsreason_TANQ_complex/00147.json
What awards did A Wrinkle in Time win?,St. Louis Film Critics Awards,Newbery Medal|Newbery Medal (lang:en),Different answer,"SELECT ?award ?awardLabel WHERE {
  wd:Q2268391 wdt:P166 ?award .
  ?award rdfs:label ?awardLabel .
  FILTER(LANG(?awardLabel) = ""en"")
}",major,SimpleQA/CompMix_table_simple_qa/00057.json
Sort the years Michael Schumacher won the Drivers' Championship by the number of races from lowest to highest. What is the number of races in the third season in this sorted list,17,1994|16|2003|1995|17,Higher accuracy in KG than in Table,"SELECT ?year(xsd:integer(?races) AS ?racesNum) WHERE {
  ?season wdt:P1346 wd:Q9671 .
  ?season wdt:P580 ?startTime .
  ?season wdt:P1350 ?races .
  BIND(YEAR(?startTime) AS ?year)
}
ORDER BY ASC(?racesNum)
LIMIT 3",0.7724964187969096,ComplexQA/Sportsreason_TANQ_complex/00113.json
when did the song things that make you go hmmm come out,"June 23, 1991",1991-01-01T00:00:00Z,Higher accuracy in Table than in KG,"SELECT ?date WHERE {
  wd:Q7784391 wdt:P577 ?date
}",0.8000000000000002,SimpleQA/NQ_table_test_simple/00382.json
"How many games did the Los Angeles Dodgers win when playing against the Philadelphia Phillies in the 1977, 1978, 2008, and 2009 National League Championship Series",8,0,Different answer,"SELECT(SUM(?dodgersWins) AS ?totalWins) WHERE {
  VALUES ?series {
    wd:Q1004352 wd:Q1004228 wd:Q3511262 wd:Q3511261
  }
  ?series wdt:P1346 ?winner ; wdt:P5504 ?games .
  BIND(IF(?series IN(wd:Q1004352 , wd:Q1004228) , 3 , 4) AS ?requiredWins)
  BIND(IF(?winner = wd:Q334634 , ?requiredWins , ?games - ?requiredWins) AS ?dodgersWins)
}",major,ComplexQA/Sportsreason_TANQ_complex/00165.json
What costume designer received an Oscar nomination for working on the film Airport?,Edith Head,E. Preston Ames|E. Preston Ames (lang:en),Different answer,"SELECT ?designer ?designerLabel WHERE {
  wd:Q409022 wdt:P2554 ?designer .
  ?designer rdfs:label ?designerLabel .
  FILTER(LANG(?designerLabel) = 'en')
}",major,SimpleQA/CompMix_table_simple_qa/00104.json
What prize was the author William Golding awarded with in the year 1983,Nobel Prize in Literature,honorary doctor of the Sorbonne Nouvelle University|Nobel Prize in Literature,Higher accuracy in KG than in Table,"SELECT ?award WHERE {
  wd:Q44183 p:P166 ?statement .
  ?statement ps:P166 ?award .
  ?statement pq:P585 ?time .
  FILTER(YEAR(?time) = 1983)
}",0.7674185218007678,ComplexQA/CompMix_infobox_complex/00126.json
when does star trek discovery season 1 end,"February 11, 2018",2018-01-01T00:00:00Z,Higher accuracy in Table than in KG,"SELECT ?end WHERE {
  wd:Q41477806 wdt:P582 ?end
}",0.8000000000000002,SimpleQA/NQ_table_test_simple/00514.json
"How many games involving the Boston Red Sox took place at Fenway Park across the 2018 World Series, the 2013 American League Championship Series, and the 1975 American League Championship Series",7,0,Different answer,"SELECT(COUNT(DISTINCT ?game) AS ?count) WHERE {
  VALUES ?series {
    wd:Q56692089 wd:Q14870260 wd:Q3511178
  }
  ?game wdt:P361 ?series ; wdt:P276 wd:Q49136 ; wdt:P1923 wd:Q213959 .
}",major,ComplexQA/Sportsreason_TANQ_complex/00070.json
What is Luis Suárez National Team?,"Uruguay Olympic football team, Uruguay national football team",Uruguay,Different answer,"SELECT ?nationalTeam WHERE {
  wd:Q26517 wdt:P1532 ?nationalTeam
}",major,SimpleQA/CompMix_table_simple_qa/00173.json
