question,gold_answer,KG answer,taxonomy_label,method,source,cause
List all Roman Emperors along with their place of birth.,"[['Didius Julianus', 'Mediolanum, Italy'], ['Septimius Severus', 'Leptis Magna, Africa'], ['Geta', 'Rome'], ['Macrinus', 'Caesarea, Mauretania Caesariensis'], ['Elagabalus', 'Emesa, Syria or Rome, Italy'], ['Severus Alexander', 'Arca Caesarea, Phoenicia'], ['Gordian III', 'Rome'], ['Philip I the Arab', 'Philippopolis, Arabia Petraea'], ['Decius', 'Budalia, Illyricum'], ['Herennius Etruscus', 'Abritus'], ['Trebonianus Gallus', 'Italy'], ['Gallienus', 'Roman Empire'], ['Quintillus', 'Sirmium, Pannonia Inferior'], ['Aurelian', 'Dacia Ripensis or Sirmium'], ['Probus', 'Sirmium, Pannonia Inferior, modern day Serbia'], ['Carus', 'Narbo, Gallia Narbonensis'], ['Diocletian Jovius', 'Salona, Dalmatia, Roman Empire'], ['Maximian Herculius', 'Sirmium'], ['Galerius', 'Felix Romuliana, Roman Dacia, Roman Empire'], ['Licinius', 'Moesia Superior, Roman Empire'], ['Maximinus II Daza', 'near Felix Romuliana, Roman Dacia, Roman Empire'], ['Constantine I', 'Naissus, Moesia, Roman Empire'], ['Constantine II', 'Arelate, Viennensis'], ['Magnentius', 'Samarobriva, Gaul'], ['Vatranio', 'Moesia'], ['Julian the Apostate', 'Constantinople, Roman Empire'], ['Jovian', 'Singidunum, Moesia Superior, Roman Empire'], ['Valentinian I the Great', 'Cibalae, Pannonia, Roman Empire'], ['Valens', 'Cibalae, Pannonia Secunda'], ['Procopius', 'Cilicia'], ['Gratian', 'Sirmium, Pannonia Secunda'], ['Valentinian II', 'Treveri, Gallia Belgica, Western Roman Empire'], ['Theodosius I', 'Cauca, Hispania, Roman Empire or alternatively Italica, Hispania, Roman Empire'], ['Arcadius', 'Hispania'], ['Honorius', 'Constantinople'], ['Constantius III', 'Naissus, Moesia'], ['Valentinian III', 'Ravenna'], ['Avitus', 'Arvernis, Gaul'], ['Libius Severus', 'Lucania'], ['Romulus Augustulus', 'Pannonia'], ['Zeno', 'Rusumblada (thereafter Zenopolis), Isauria, Cilicia'], ['Anastasius I Dicorus', 'Dyrrhachium'], ['Justin I', 'Baderiana, near Scupi, Eastern Roman Empire'], ['Justinian I the Great', 'Tauresium, Dardania, Eastern Roman Empire'], ['Tiberius II Constantine', 'Thrace'], ['Phocas', 'Thracia or Cappadocia'], ['Heraclius', 'Cappadocia, Byzantine Empire'], ['Heraclonas', 'Lazica'], ['Constantine IV', 'Constantinople'], ['Leontius', 'Isauria'], ['Tiberius III', 'Apsimar'], ['Philippicus', 'Pergamum'], ['Leo III the Isaurian', 'Germanikeia, Umayyad Caliphate'], ['Irene', 'Athens, Byzantine Empire'], ['Michael II the Amorian', 'Amorium, Phrygia'], ['Basil I', 'Chariopolis, Macedonia, Byzantine Empire'], ['John I Tzimiskes', 'now Çemişgezek, Tunceli Province, Turkey'], ['Basil II the Bulgar-Slayer', 'Constantinople, Byzantine Empire'], ['Romanos III Argyros', 'Hierapolis, Thracesian Theme, Byzantine Empire'], ['Michael IV the Paphlagonian', 'Paphlagonia'], ['Zoe Porphyrogenita', 'Constantinople'], ['Constantine IX Monomachos', 'Antioch'], ['Theodora Porphyrogenita', 'Constantinople'], ['Romanos IV Diogenes', 'Cappadocia'], ['John II Komnenos the Good', 'Constantinople, Byzantine Empire'], ['Alexios II Komnenos', 'Constantinople'], ['Isaac II Angelos', 'Constantinople'], ['Theodore II Laskaris', 'Nicaea'], ['Michael VIII Palaiologos', 'Empire of Nicaea'], ['Michael IX Palaiologos', 'Constantinople'], ['Andronikos III Palaiologos', 'Constantinople, Byzantine Empire'], ['John VI Kantakouzenos', 'Constantinople, Byzantine Empire'], ['Manuel II Palaiologos', 'Constantinople, Byzantine Empire'], ['Constantine XI Palaiologos', 'Constantinople, Byzantine Empire'], ['Tiberius', 'Rome, Italy, Roman Republic'], ['Caligula', 'Antium, Italy'], ['Galba', 'Near Terracina, Italy, Roman Empire'], ['Otho', 'Ferentium, Italy'], ['Vitellius', 'Nuceria Alfaterna, Italy, Roman Empire'], ['Titus', 'Rome, Italy'], ['Trajan', 'Italica, Hispania Baetica, present-day Spain'], ['Antoninus Pius', 'Lanuvium, Italy'], ['Lucius Verus', 'Rome, Italy'], ['Commodus', 'Lanuvium, near Rome, Italy'], ['Augustus', 'Rome, Italy'], ['Claudius', 'Lugdunum, Gaul'], ['Nero', 'Antium, Italy, Roman Empire'], ['Vespasian', 'Falacrinae'], ['Domitian', 'Rome, Italy, Roman Empire'], ['Nerva', 'Narni, Italy'], ['Hadrian', 'Italica, Hispania Baetica'], ['Marcus Aurelius', 'Rome, Italia, Roman Empire'], ['Pertinax', 'Alba Pompeia, Italy'], ['Caracalla', 'Lugdunum'], ['Maximinius I Thrax', 'Thracia'], ['Gordian I', 'possibly Phrygia'], ['Aemilianus', 'Girba, Africa'], ['Constantius I', 'Naissus, Moesia Superior'], ['Severus II', 'Northern Illyria'], ['Constantius II', 'Sirmium, Pannonia Inferior'], ['Magnus Maximus', 'Gallaecia, Hispania'], ['Constantine III', 'unknown'], ['Marcian', 'Thrace or Illyria'], ['Anthemius', 'Constantinople'], ['Olybrius', 'Rome, Italy'], ['Glycerius', 'Dalmatia'], ['Julius Nepos', 'Dalmatia'], ['Leo I the Butcher', 'Dacia Aureliana, Roman Empire'], ['Justin II', 'Constantinople'], ['Justin II', 'Istanbul, Turkey'], ['Maurice', 'Arabissus, Cappadocia'], ['Constans II the Bearded', 'Constantinople'], ['Justinian II', 'Constantinople'], ['Justinian II Rhinotmetus', 'Constantinople'], ['Constantine V', 'Constantinople'], ['Theodora', 'Ebissa, Paphlagonia'], ['Leo VI', 'Constantinople'], ['Alexander', 'Constantinople'], ['Constantine VII', 'Constantinople'], ['Romanos I Lekapenos', 'Lakape'], ['Eudokia Makrembolitissa', 'Constantinople'], ['Michael VII Doukas Parapinakes', 'Constantinople'], ['Theodore I Laskaris', 'Pyrgion'], ['John III Doukas Vatatzes', 'Didymoteicho, Byzantine Empire'], ['Andronikos II Palaiologos', 'Nicaea, Empire of Nicaea'], ['John V Palaiologos', 'Didymoteicho, Byzantine Empire'], ['Andronikos IV Palaiologos', 'Constantinople']]","Nerva|Nerva (lang:en)|Narni|Narni (lang:en)
Galba|Galba (lang:en)|Terracina|Terracina (lang:en)
Constantine the Great|Constantine the Great (lang:en)|Niš|Niš (lang:en)
Jovian|Jovian (lang:en)|Singidunum|Singidunum (lang:en)
Licinius|Licinius (lang:en)|Felix Romuliana|Felix Romuliana (lang:en)
...|...|...|...
Sabinus Iulianus|Sabinus Iulianus (lang:en)|Roman Italy|Roman Italy (lang:en)
Philip the Arab|Philip the Arab (lang:en)|Shahba|Shahba (lang:en)
Vespasian|Vespasian (lang:en)|Falacrine|Falacrine (lang:en)
Decius|Decius (lang:en)|Martinci|Martinci (lang:en)
Galerius|Galerius (lang:en)|Dacia|Dacia (lang:en)",Higher accuracy in Table than in KG,LLM-as-a-judge,ComplexQA/Monaco_non_time_complex/00005.json,long answer
Which script systems are in use by more than one language,"['Latin', 'Chinese', 'Devanagari', 'Bengali–Assamese', 'Kana', 'Telugu', 'Tamil', 'Gujarati', 'Kannada', 'Burmese', 'Thai', 'Gurmukhi', 'Lao', 'Odia', 'Geʽez', 'Sinhala', 'Hebrew', 'Khmer', 'Tibetan', 'Georgian', 'Canadian Syllabics', 'Arabic', 'Cyrillic']","Khmer|Khmer (lang:en)|4
Mongolian|Mongolian (lang:en)|3
Hebrew-script-based alphabet|Hebrew-script-based alphabet (lang:en)|15
Lontara|Lontara (lang:en)|3
Kharoṣṭhī|Kharoṣṭhī (lang:en)|2
...|...|...
Kannada script|Kannada script (lang:en)|2
Burmese alphabet|Burmese alphabet (lang:en)|8
Javanese script|Javanese script (lang:en)|3
Kawi script|Kawi script (lang:en)|3
Tagbanwa|Tagbanwa (lang:en)|2",Higher accuracy in Table than in KG,LLM-as-a-judge,ComplexQA/Monaco_non_time_complex/00105.json,long answer
Which of Mexico's wars began in what can be labeled as a civil war or rebellion,"['Mexican War of Independence', 'Long Expedition', 'Yaqui Wars', 'Casa Mata Plan Revolution', 'Rebellion of Oaxaca', 'Rebellion of Puebla', 'Texas Revolution', 'Rebellion of the Republic of the Rio Grande', 'Caste War of Yucatán', 'Reform War', 'Mexican Revolution', 'Magonista Rebellion', 'Escobar Rebellion', 'Dirty War', 'Zapatista Uprising', 'Rebellion of Guadalajara', 'Fredonian Rebellion', 'Conservative Coup', 'Zacatecas Rebellion', 'Revolution of Ayutla', 'Cortina Troubles', 'Garza Revolution', 'Cristero War', 'Mexican Indian Wars', 'Revolt of Querétaro']","Revolutionary Worker Clandestine Union of the People Party|Revolutionary Worker Clandestine Union of the People Party (lang:en)
1935 Revolution Day Zócalo Battle|1935 Revolution Day Zócalo Battle (lang:en)
Popular Revolutionary Army|Popular Revolutionary Army (lang:en)
1 Peso - Mexico-Revolutionary [Num63212]|1 Peso - Mexico-Revolutionary [Num63212] (lang:en)
200 Pesos (Pattern; 75th Anniversary of 1910 Revolution; Brass) [Num442884]|200 Pesos (Pattern; 75th Anniversary of 1910 Revolution; Brass) [Num442884] (lang:en)
...|...
Authentic Party of the Mexican Revolution|Authentic Party of the Mexican Revolution (lang:en)
Party of the Democratic Revolution|Party of the Democratic Revolution (lang:en)
Workers' Revolutionary Party|Workers' Revolutionary Party (lang:en)
People's Revolutionary Armed Forces|People's Revolutionary Armed Forces (lang:en)
Magonista rebellion of 1911|Magonista rebellion of 1911 (lang:en)",Higher accuracy in Table than in KG,LLM-as-a-judge,ComplexQA/Monaco_non_time_complex/00060.json,long answer
Who were the leaders of the First Crusade and what were their titles,"[['Raymond IV of Toulouse', 'count of Toulouse'], ['Raymond IV of Toulouse', 'duke of Narbonne'], ['Raymond IV of Toulouse', 'margrave of Provence'], ['Adhemar of Le Puy #', 'bishop of Puy-en-Velay'], ['Godfrey of Bouillon', 'prince'], ['Godfrey of Bouillon', 'Advocatus Sancti Sepulchri'], ['Godfrey of Bouillon', 'Duke of Lower Lorraine'], ['Baldwin of Boulogne', 'count of Edessa'], ['Baldwin of Boulogne', 'king of Jerusalem'], ['Hugh of Vermandois', 'Count of Vermandois'], ['Stephen of Blois', 'King of England'], ['Stephen of Blois', 'Count of Boulogne jure uxoris'], ['Stephen of Blois', 'Duke of Normandy'], ['Robert II of Flanders', 'Count of Flanders'], ['Robert Curthose', 'Duke of Normandy'], ['Bohemond of Taranto', 'Prince'], ['Tancred', 'Prince of Galilee'], ['Alexios I Komnenos', 'emperor'], ['Tatikios', 'general'], ['Manuel Boutoumites', 'general'], ['Kilij Arslan', 'Seljuq Sultan of Rum'], ['Yaghi-Siyan X', 'commander'], ['Yaghi-Siyan X', 'governor'], ['Kerbogha', 'atabeg of Mosul'], ['Ridwan', 'emir of Aleppo'], ['Toghtekin', 'emir of Damascus'], ['Janah ad-Dawla', 'emir of Homs'], ['Janah ad-Dawla', 'atabeg of Ridwan'], ['Iftikhar al-Dawla', 'governor'], ['Al-Afdal Shahanshah', 'vizier'], ['Duqaq', 'Emir of Damascus']]","Bohemond I of Antioch|Bohemond I of Antioch (lang:en)|prince of Taranto|prince of Taranto (lang:en)
Iftikhar ad-Daula|Iftikhar ad-Daula (lang:en)|governor|governor (lang:en)
Kerbogha|Kerbogha (lang:en)|Atabeg|Atabeg (lang:en)
Alexios I Komnenos|Alexios I Komnenos (lang:en)|Byzantine emperor|Byzantine emperor (lang:en)
Adhemar of Le Puy|Adhemar of Le Puy (lang:en)|bishop of Le Puy-en-Velay|bishop of Le Puy-en-Velay (lang:en)
...|...|...|...
Tancred, Prince of Galilee|Tancred, Prince of Galilee (lang:en)|regent of the Principality of Antioch|regent of the Principality of Antioch (lang:en)
Danishmend Gazi|Danishmend Gazi (lang:en)|Bey of Karasi|Bey of Karasi (lang:en)
Al-Afdal Shahanshah|Al-Afdal Shahanshah (lang:en)|Vizier of the Fatimid Caliphate|Vizier of the Fatimid Caliphate (lang:en)
Baldwin I of Jerusalem|Baldwin I of Jerusalem (lang:en)|King of Jerusalem|King of Jerusalem (lang:en)
Adhemar of Le Puy|Adhemar of Le Puy (lang:en)|papal legate|papal legate (lang:en)",Higher accuracy in Table than in KG,LLM-as-a-judge,ComplexQA/Monaco_non_time_complex/00029.json,long answer
Which actors or actresses appeared in more than two films directed by Quentin Tarantino,"['Quentin Tarantino', 'Tim Roth', 'Michael Madsen', 'Lawrence Bender', 'Bruce Willis', 'Samuel L. Jackson', 'Uma Thurman', 'Julie Dreyfus', 'Michael Parks', 'James Parks', 'Kurt Russell', 'Zoë Bell']","Kurt Russell|Kurt Russell (lang:en)
Kurt Russell|Kurt Russell (lang:en-gb)
Gordon Liu|Gordon Liu (lang:en)
Uma Thurman|Uma Thurman (lang:en)
Uma Thurman|Uma Thurman (lang:en-ca)
...|...
Michael Parks|Michael Parks (lang:en-gb)
Michael Bowen|Michael Bowen (lang:en)
James Parks|James Parks (lang:en)
James Parks|James Parks (lang:en-ca)
James Parks|James Parks (lang:en-gb)",Higher accuracy in Table than in KG,LLM-as-a-judge,ComplexQA/Monaco_time_complex/00097.json,long answer
Which mythical creatures appear in Ibsen's Peer Gynt,"['A pastor/The Devil (Peer Gynt thinks he is a pastor)', 'A green-clad woman, a troll princess', 'The Old Man of the Mountains, a troll king (Also known as The Mountain King)', 'Multiple troll-courtiers, troll-maidens and troll-urchins', 'Brownies, nixies, gnomes, et al.', 'The Bøyg, a voice in the darkness', 'The Sphinx at Giza', 'A button-moulder']","The Mountain King|The Mountain King (lang:en)
Mother Aase|Mother Aase (lang:en)
Anitra|Anitra (lang:en)
Aslak|Aslak (lang:en)
Little Helga|Little Helga (lang:en)
...|...
A Warder|A Warder (lang:en)
A Lean Person|A Lean Person (lang:en)
A Buttonmoulder|A Buttonmoulder (lang:en)
Peer Gynt|Peer Gynt (lang:en)
Solveig|Solveig (lang:en)",Higher accuracy in Table than in KG,LLM-as-a-judge,ComplexQA/Monaco_non_time_complex/00086.json,long answer
What's the life expectancy and average size of each canine species,"[['Canis familiaris', '10 to 13 years', 'Varies based on breed'], ['Canis lycaon', '3-4 years', 'females weighing 23.9 kilograms (53 lb) on average and males 30.3 kilograms (67 lb).'], ['Lycaon pictus', '10 to 11 years', '20–25 kg (44–55 lb)'], ['Lupulella mesomelas', '7 years', 'It weighs 6–13 kg (13–29 lb)'], ['Speothos venaticus', 'Up to 10 years', 'Adults typically have a head-body length of 57–75 cm (22–30 in), with a 12.5–15 cm (5–6 in) tail. They have a shoulder height of 20–30 cm (8–12 in) and weigh 5–8 kg (11–18 lb)'], ['Lycalopex gymnocercus', 'Up to 14 years', 'Adults range from 51 to 80 cm (20 to 31 in) in body length, and weigh 2.4 to 8.0 kg (5.3 to 17.6 lb); males are about 10% heavier than females.'], ['Chrysocyon brachyurus', 'Between 12 and 15 years', 'The average adult weighs 23 kg (51 lb) and stands up to 110 cm (43 in) tall at the shoulder, and has a head-body length of 100 cm (39 in), with the tail adding another 45 cm (18 in)'], ['N. procyonoides', '6-7 years', 'Total lengths can range from 45 to 71 cm (18 to 28 in).'], ['Otocyon megalotis', '14 to 17 years', 'Bat-eared foxes are relatively small canids, ranging in weight from 3 kg to 5.3 kg. Head and body length is 46–66 cm, tail length is 23–34 cm, shoulder height is 30–40 cm, and the notably large ears are 11–13 cm long.'], ['Vulpes lagopus', 'up to 11 years', 'The average head-and-body length of the male is 55 cm (22 in), with a range of 46 to 68 cm (18 to 27 in), while the female averages 52 cm (20 in) with a range of 41 to 55 cm (16 to 22 in).'], ['Vulpes macrotis', '5.5 years', '455 to 535 mm (17.9 to 21.1 in)'], ['Vulpes rueppellii', 'Seven years', '66 to 74 cm (26 to 29 in) in total length'], ['Vulpes vulpes', '5 years', '35–50 cm (14–20 in) shoulder height'], ['Vulpes vulpes', '5 years', '45–90 cm (18–35 in) body length'], ['Vulpes zerda', '10', 'Females weigh 1–1.9 kg (2.2–4.2 lb)'], ['Vulpes zerda', '10', 'Males weigh 1.3 kg (2.9 lb)'], ['Vulpes zerda', '14', 'Females weigh 1–1.9 kg (2.2–4.2 lb)'], ['Vulpes zerda', '14', 'Males weigh 1.3 kg (2.9 lb)']]","Xiasi Dog|Xiasi Dog (lang:en)||
Kars dog|Kars dog (lang:en)||
griffon|griffon (lang:en)||
Pyrenean Sheepdog Long-haired|Pyrenean Sheepdog Long-haired (lang:en)||
Mantiqueira Shepherd|Mantiqueira Shepherd (lang:en)||
...|...|...|...
Techichi|Techichi (lang:en)||
Grand Fauve de Bretagne|Grand Fauve de Bretagne (lang:en)||
Barrocal Algarvio|Barrocal Algarvio (lang:en)||
westiepoo|westiepoo (lang:en)||
Gerberian Shepsky|Gerberian Shepsky (lang:en)||",Higher accuracy in Table than in KG,LLM-as-a-judge,ComplexQA/Monaco_non_time_complex/00015.json,long answer
What films did Tom Hanks appear in between 1985 and 2015,"['The Man with One Red Shoe', 'Volunteers', 'The Money Pit', 'Nothing in Common', 'Every Time We Say Goodbye', 'Dragnet', 'Big', 'Punchline', ""The 'Burbs"", 'Turner & Hooch', 'Joe Versus the Volcano', 'The Bonfire of the Vanities', 'Radio Flyer', 'A League of Their Own', 'Sleepless in Seattle', 'Philadelphia', 'Forrest Gump', 'Apollo 13', 'Toy Story', 'That Thing You Do!', 'Saving Private Ryan', ""You've Got Mail"", 'Toy Story 2', 'The Green Mile', 'Cast Away', 'Road to Perdition', 'Catch Me If You Can', 'The Ladykillers', 'The Terminal', 'The Polar Express', 'The Da Vinci Code', ""Charlie Wilson's War"", 'The Great Buck Howard', 'Angels & Demons', 'Toy Story 3', 'Larry Crowne', 'Extremely Loud & Incredibly Close', 'Cloud Atlas', 'Captain Phillips', 'Saving Mr. Banks', 'Bridge of Spies']","Apollo 13
Sleepless in Seattle
Splash
The Extraordinary Voyage
The Man with One Red Shoe
...
The Ladykillers
Big
The Polar Express
Extremely Loud and Incredibly Close
The Money Pit",Higher accuracy in Table than in KG,LLM-as-a-judge,ComplexQA/Monaco_non_time_complex/00045.json,long answer
who was on the first season of dwts,Trista Sutter | Evander Holyfield | Rachel Hunter | Joey McIntyre | John O'Hurley | Kelly Monaco,"Rachel Hunter
Louis Van Amstel
Evander Holyfield
John O'Hurley
Ashly DelGrosso
...
Alec Mazo
Charlotte Jørgensen
Edyta Śliwińska
Jonathan Roberts
Joey McIntyre",Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00018.json,long answer
cast of a nightmare on elm street 1984,John Saxon | Ronee Blakley | Heather Langenkamp | Amanda Wyss | Nick Corri | Johnny Depp | Robert Englund,"Heather Langenkamp|Heather Langenkamp (lang:en)
Amanda Wyss|Amanda Wyss (lang:en)
Joseph Whipp|Joseph Whipp (lang:en)
Ronee Blakley|Ronee Blakley (lang:en)
Jsu Garcia|Jsu Garcia (lang:en)
...|...
Johnny Depp|Johnny Depp (lang:en)
Lin Shaye|Lin Shaye (lang:en)
John Saxon|John Saxon (lang:en)
Joe Unger|Joe Unger (lang:en)
Charles Fleischer|Charles Fleischer (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00639.json,long answer
What are the exoplanets discovered in 2021 ?,NGTS-14Ab | NGTS-13b | TOI-628 b | TOI-640 b | TOI-1333 A b | TOI-1478 b | TOI-1601 b | OGLE-2019-BLG-0960Lb | HD 110082 b,"TOI-540 b|TOI-540 b (lang:en)
HD 110082 b|HD 110082 b (lang:en)
Su|Su (lang:en)
TOI-1601 b|TOI-1601 b (lang:en)
OGLE-2019-BLG-0960Lb|OGLE-2019-BLG-0960Lb (lang:en)
...|...
K2-138 g|K2-138 g (lang:en)
wd:Q95944758|
wd:Q97030402|
wd:Q97051903|
HD 1916bk|HD 1916bk (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/Qampari_wikitables_simple/00044.json,long answer
what are the band members names of the rolling stones,Mick Jagger | Keith Richards | Charlie Watts | Ronnie Wood,"Colin Golding|The Rolling Stones (lang:en)
Mick Jagger|The Rolling Stones (lang:en)
Keith Richards|The Rolling Stones (lang:en)
Brian Jones|The Rolling Stones (lang:en)
Ronnie Wood|The Rolling Stones (lang:en)
...|...
Ian Stewart|The Rolling Stones (lang:en)
Carlo Little|The Rolling Stones (lang:en)
Darryl Jones|The Rolling Stones (lang:en)
Ricky Fenson|The Rolling Stones (lang:en)
Dick Taylor|The Rolling Stones (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00230.json,long answer
What are the current or past space stations ?,Salyut 1 | DOS-2 | Salyut 2 | Kosmos 557 | Skylab | Salyut 3 | Salyut 4 | Salyut 5 | Salyut 6 | Salyut 7 | Mir | Tiangong-1 | Tiangong-2 | Lunar Gateway | Russian Orbital Service Station (ROSS) | Lunar Orbital Station   (LOS) | Manned Orbiting Laboratory 1–7 | Skylab B | OPS-4 | Freedom | Mir-2 | [[Columbus Man-Tended Free Flyer|Columbus MTFF]] | [[Galaxy (spacecraft)|Galaxy]] | [[Excalibur Almaz|Almaz commercial]] | OPSEK,"Salyut 5|Salyut 5 (lang:en)
Bharatiya Antariksha Station|Bharatiya Antariksha Station (lang:en)
Tiangong-1|Tiangong-1 (lang:en)
Kosmos 1870|Kosmos 1870 (lang:en)
Almaz 1A|Almaz 1A (lang:en)
...|...
Salyut 2|Salyut 2 (lang:en)
Salyut 4|Salyut 4 (lang:en)
Salyut 3|Salyut 3 (lang:en)
Salyut 7|Salyut 7 (lang:en)
Manned Orbiting Laboratory|Manned Orbiting Laboratory (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/Qampari_wikitables_simple/00041.json,long answer
who starred in the film far from the madding crowd,Carey Mulligan | Matthias Schoenaerts | Michael Sheen | Tom Sturridge | Juno Temple,"Jon Gunn
Sam Phillips
Carey Mulligan
Mark Wingett
Juno Temple
...
Harry Peacock
Jessica Barden
Tom Sturridge
Tilly Vosburgh
Victor McGuire",Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00398.json,long answer
what mlb teams did deion sanders play for,"New York Yankees (1989–1990) | Atlanta Braves (1991–1994) | Cincinnati Reds (1994–1995) | San Francisco Giants (1995) | Cincinnati Reds (1997, 2001)","Dallas Cowboys|Dallas Cowboys (lang:en)
Washington Commanders|Washington Commanders (lang:en)
New York Yankees|New York Yankees (lang:en)
Atlanta Falcons|Atlanta Falcons (lang:en)
Baltimore Ravens|Baltimore Ravens (lang:en)
...|...
San Francisco 49ers|San Francisco 49ers (lang:en)
Atlanta Braves|Atlanta Braves (lang:en)
Florida State Seminoles football|Florida State Seminoles football (lang:en)
Gulf Coast League Yankees|Gulf Coast League Yankees (lang:en)
Cincinnati Reds|Cincinnati Reds (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00072.json,long answer
where is natural gas found in the us,Texas | Louisiana | Arkansas | New Mexico | Colorado | Pennsylvania | West Virginia | Wyoming,"Kern County|Kern County (lang:en)
Henderson County|Henderson County (lang:en)
Texas|Texas (lang:en)
Kansas|Kansas (lang:en)
Oklahoma|Oklahoma (lang:en)
...|...
Washington County|Washington County (lang:en)
Lafourche Parish|Lafourche Parish (lang:en)
Allegheny Plateau|Allegheny Plateau (lang:en)
Utah|Utah (lang:en)
California|California (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00530.json,long answer
What were the different numeral systems ?,Proto-cuneiform numerals | Egyptian numerals | Chinese numerals Japanese numerals Korean numerals (Sino-Korean) Vietnamese numerals (Sino-Vietnamese) | Aegean numerals | Bengali numerals | Roman numerals | Hebrew numerals | Greek numerals | Armenian numerals | Khmer numerals | Thai numerals | Abjad numerals | Eastern Arabic numerals | Vietnamese numerals (Chữ Nôm) | Glagolitic numerals | Cyrillic numerals | Burmese numerals | Cistercian numerals | Maya numerals | Muisca numerals | Korean numerals (Hangul) | Sinhala numerals | Pentimal runes | Binary | Ternary | Quaternary | Quinary | Senary | Octal | Decimal / Denary | Duodecimal | Hexadecimal | Vigesimal | Sexagesimal | [[Unary numeral system|Unary]](Bijectivebase1) | Balanced ternary | Quater-imaginary base | Golden ratio base,"Proto-Cuneiform numerals|Proto-Cuneiform numerals (lang:en)
computer number format|computer number format (lang:en)
Slavonic numerals|Slavonic numerals (lang:en)
Rumi numeral|Rumi numeral (lang:en)
wd:Q138817557|counting money (lang:en)
...|...
Brahmi numerals|Brahmi numerals (lang:en)
Chinese numerals|Chinese numerals (lang:en)
unary numeral system|unary numeral system (lang:en)
tonal system|tonal system (lang:en)
Yoruba numerals|Yoruba numerals (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/Qampari_wikitables_simple/00069.json,long answer
who starred in the pirates of the caribbean,Johnny Depp | Geoffrey Rush | Kevin McNally | Orlando Bloom | Keira Knightley | Jack Davenport | Jonathan Pryce,"Guy Siner|Guy Siner (lang:en)
Damian O'Hare|Damian O'Hare (lang:en)
Greg Ellis|Greg Ellis (lang:en)
Michael Berry Jr.|Michael Berry Jr. (lang:en)
Martin Klebba|Martin Klebba (lang:en)
...|...
Keira Knightley|Keira Knightley (lang:en)
Orlando Bloom|Orlando Bloom (lang:en)
Mackenzie Crook|Mackenzie Crook (lang:en)
Dylan Smith|Dylan Smith (lang:en)
Lee Arenberg|Lee Arenberg (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00135.json,long answer
Which Colombian Presidents were over 60 years old when entering office,"['Francisco Javier Zaldúa y Racines', 'Manuel Antonio Sanclemente Sanclemente', 'Laureano Gómez Castro', 'José Manuel Marroquín Ricaurte', 'Marco Fidel Suárez', 'Jorge Holguín Mallarino', 'Pedro Nel Ospina Vázquez', 'Alfonso López Michelsen', 'Julio César Turbay Ayala', 'Virgilio Barco Vargas', 'Gustavo Francisco Petro Urrego']","Pedro Nel Ospina Vázquez
Manuel Marroquín
Euclídes de Angulo
Marco Fidel Suárez
Francisco Javier Zaldúa
...
Laureano Gómez
Virgilio Barco Vargas
Rafael Núñez
Gustavo Petro
Eliseo Payán",Different answer,LLM-as-a-judge,ComplexQA/Monaco_time_complex/00067.json,long answer
Which world pandemics throughout history did not spread due to wars or conquests,"['Plague of Justinian', 'HIV/AIDS epidemic', 'COVID-19 pandemic', '1957–1958 influenza pandemic', 'Hong Kong flu', '735–737 Japanese smallpox epidemic', 'Naples Plague', '1846–1860 cholera pandemic', '1889–1890 flu pandemic']","Dengue pandemic in Sri Lanka
Hong Kong flu
2022 monkeypox pandemic
1919–1930 Encephalitis lethargica epidemic
AIDS
...
Plague of Justinian
Swine cholera in Luzon in 2019–20
COVID-19 pandemic in Europe
next pandemic
First plague pandemic",Different answer,LLM-as-a-judge,ComplexQA/Monaco_non_time_complex/00122.json,long answer
What are the discovered bog bodies ?,Elling Woman | Grauballe Man | Haraldskær Woman | Huldremose Woman | Tollund Man | Kayhausen Boy | Osterby Man | Cashel Man | Gallagh Man | Old Croghan Man | Weerdinge Men | Yde Girl | Lindow Woman | Lindow Man | Cladh Hallan Skeletons,"Röst girl|Röst girl (lang:en)
Peiting Woman|Peiting Woman (lang:en)
Exloërmond Man|Exloërmond Man (lang:en)
Peat dog from Burlage|Peat dog from Burlage (lang:en)
Zweeloo Woman|Zweeloo Woman (lang:en)
...|...
Yde Girl|Yde Girl (lang:en)
Elling Woman|Elling Woman (lang:en)
Girl of the Uchter Moor|Girl of the Uchter Moor (lang:en)
Ballynahatty woman|Ballynahatty woman (lang:en)
Weerdinge Men|Weerdinge Men (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/Qampari_wikitables_simple/00000.json,long answer
