question_text,answer_list
From which prison did multi-recidivist escaper escaped ?,"La Santé | Toodyay lockup | Fremantle Prison | Abashiri Prison | [[St Giless Roundhouse]] | Newgate Prison | United States Penitentiary, Pollock | Sing Sing | Eastern State Penitentiary | Clinton Correctional Facility | ""Altiplano"" Federal Social Readaptation Center No. 1"
What are the named spirals ?,Archimedean spiral | Euler spiral | [[Fermats spiral]] (also parabolic spiral) | [[Cotess spiral]] | [[Poinsots spirals]]
What are the named meteor showers ?,Quadrantids | Alpha Centaurids | Gamma Normids | Lyrids | Pi Puppids | Eta Aquariids | Daytime Arietids | June Bootids | Southern Delta Aquariids | Alpha Capricornids | Perseids | Kappa Cygnids | Aurigids | Draconids | Delta Aurigids | Orionids | Leonis Minorids | Leonids | Alpha Monocerotids | Phoenicids | Monocerotids | Geminids | Comae Berenicids | Ursids
Who was a Minnesota North Stars/Dallas Stars general managers ?,Wren Blair | Jack Gordon | Lou Nanne | Jack Ferreira | Bob Clarke | Bob Gainey | Doug Armstrong | Brett Hull | Les Jackson | Joe Nieuwendyk | Jim Nill
What are the existing recoilless rifles ?,M18 Recoilless Rifle | SPG-9 | M20 | Breda Folgore | B-10 | 55 S 55 | RCL 3.45 inch Gun | M67 | 95 S 58-61 | LG 40 | LG 42 | M40 | Model 1968 recoilless gun | B-11 | Jagdfaust | M28/M29 Nuclear Recoilless Rifle
What are the different extinct dog breeds ?,Alaunt | Alpine Mastiff | Belgian Mastiff | Blue Paul Terrier | Braque Dupuy | Bull and terrier | Bullenbeisser | Chien-gris | Chiribaya Dog | Cordoba Fighting Dog | Cumberland Sheepdog | Cur | Dalbo dog | Dogo cubano | English Water Spaniel | English White Terrier | Fila da Terceira | Hare Indian Dog | Hawaiian Poi Dog | Kurī | Lapponian Shepherd | Limer | Marquesan Dog | Moscow Water Dog | Norfolk Spaniel | North Country Beagle | Old Croatian Sighthound | Old English Bulldog | Old Spanish Pointer | Paisley Terrier | Polynesian Dog | Rache | Rastreador Brasileiro | Russian Tracker | [[St. Johns water dog|St Johns water dog]] | Sakhalin Husky (Karafuto Ken in Japan) | Salish Wool Dog | Southern Hound | Staghound | Tahitian Dog | Talbot Hound | Toy Bulldog | Toy Trawler Spaniel | Turnspit dog | Tweed Water Spaniel | Welsh Hillman
What are the art museums with more than 8000 squared meters of gallery ?,"Louvre | Mystetskyi Arsenal | Metropolitan Museum of Art | Tokyo National Museum | Royal Ontario Museum | National Museum of Anthropology | Victoria and Albert Museum | Houston Museum of Fine Arts | National Museum of Korea | Nanjing Museum | British Museum | Art Institute of Chicago | National Gallery of Art | MASS MoCA | Museum of Fine Arts | Israel Museum | National Gallery Singapore | Minneapolis Institute of Art | Birmingham Museum of Art | [[Musée National dArt Moderne]] | [[Musée dOrsay]] | San Francisco Museum of Modern Art | Museo del Prado | Museum of Modern Art | Denver Art Museum | Dallas Museum of Art | MMCA, Gwacheon | Detroit Institute of Arts | National Taiwan Museum of Fine Arts | Indianapolis Museum of Art | Milwaukee Art Museum | Bavarian National Museum | Montreal Museum of Fine Arts | National Gallery of Victoria (St Kilda Road) | Palais de Tokyo | Salar Jung Museum | Virginia Museum of Fine Arts | Tate Modern | Cleveland Museum of Art | National Gallery of Canada | Art Gallery of Ontario | National Gallery of Modern Art | Palais des Beaux-Arts de Lille | Pinakothek der Moderne | Rijksmuseum"
Which weapons are of the type straight pull rifles ?,"Anschütz 1827 Fortner | Anschütz Fortner 1727 | Anschütz Fortner 1927 CISM | Mannlicher M1886 | Mondragón rifle | Mannlicher M1888 | Mannlicher M1890 Carbine | Schmidt–Rubin | M1895 Lee Navy | Swiss Mannlicher M1893 Carbine | Mannlicher M1895 | M95M Trombone Conversion   [https://www.youtube.com/watch?v=PYslcKsLtRQ Steyr M95M trombone conversion in 6.5x55]   (Prototype, only 3 made). | Ross rifle | General Liu rifle | K31 | Blaser R93 | Blaser R93 Tactical | Heym SR 30 | Mauser M1996 (Model 96 / Model 96 S) [https://revivaler.com/mauser-m1996-straight-pull-rifle/ Mauser M1996 Straight Pull Rifle - Revivaler]   Roessler Titan 16 | VKS sniper rifle | Blaser R8 | LMT LM308SP | LMT LM223SP"
Who played cricket and rugby at a high level ?,Johnny Brown | Herbie Collins | Bill Farnsworth | Andrew Johns | Graeme Hughes | Jock Livingston | Ray Lindwall | Sel Belsham | Charles Finlayson | Verdun Scott
What are different species of hammerhead sharks ?,Bonnethead | Great hammerhead | Scalloped bonnethead | Scalloped hammerhead | Scoophead | Smalleye hammerhead | Smooth hammerhead
Which dhb is part of the New Zealand district heald boards ?,Auckland District Health Board | Bay of Plenty District Health Board | Canterbury District Health Board | Capital and Coast District Health Board | Counties Manukau District Health Board | [[Hawkes Bay District Health Board]] | Hutt Valley District Health Board | Lakes District Health Board | MidCentral District Health Board | Nelson Marlborough District Health Board | Northland District Health Board | Otago District Health Board | South Canterbury District Health Board | Southland District Health Board | Tairāwhiti District Health Board | Taranaki District Health Board | Waikato District Health Board | Wairarapa District Health Board | Waitematā District Health Board | Whanganui District Health Board | West Coast District Health Board
What natural areas are natural study areas ?,San Luis Hills | Black Canyon | Gooding City of Rocks East | Gooding City of Rocks West | Little City of Rocks | Shale Butte | Sleeping Giant/Sheep Creek
What are the hotels with at least 2000 rooms ?,"The Venetian Resort Las Vegas (The Venetian Las Vegas and The Palazzo) | MGM Grand Las Vegas and The Signature | CityCenter | The Londoner Macao | Abraj Al Bait | Izmailovo Hotel | Wynn Las Vegas and Encore Las Vegas | Mandalay Bay, Delano and Four Seasons | Luxor Las Vegas | Ambassador City Jomtien | Excalibur Hotel and Casino | Caesars Palace | Bellagio | Hilton Hawaiian Village | Circus Circus Las Vegas | Resorts World Las Vegas | The Mirage | Westgate Las Vegas | Paris Las Vegas | The Venetian Macao | [[Ballys Las Vegas]] | Borgata | [[Harrahs Atlantic City]] | [[Harrahs Las Vegas]] | Planet Hollywood Las Vegas | The Strat Las Vegas | Golden Nugget Las Vegas | Foxwoods Resort Casino | The Linq | Galaxy Macau | City of Dreams | Orlando World Center Marriott"
What were the different numeral systems ?,Proto-cuneiform numerals | Egyptian numerals | Chinese numerals Japanese numerals Korean numerals (Sino-Korean) Vietnamese numerals (Sino-Vietnamese) | Aegean numerals | Bengali numerals | Roman numerals | Hebrew numerals | Greek numerals | Armenian numerals | Khmer numerals | Thai numerals | Abjad numerals | Eastern Arabic numerals | Vietnamese numerals (Chữ Nôm) | Glagolitic numerals | Cyrillic numerals | Burmese numerals | Cistercian numerals | Maya numerals | Muisca numerals | Korean numerals (Hangul) | Sinhala numerals | Pentimal runes | Binary | Ternary | Quaternary | Quinary | Senary | Octal | Decimal / Denary | Duodecimal | Hexadecimal | Vigesimal | Sexagesimal | [[Unary numeral system|Unary]](Bijectivebase1) | Balanced ternary | Quater-imaginary base | Golden ratio base
What are the mountain ranges with an height larger than 5600 meters ?,Himalayas | Karakoram (Note 2) | Hindu Kush (Note 2) | Hengduan Mountains (Note 2) | Tian Shan | Kunlun | Andes | Hindu Raj | Alaska Range | Saint Elias Mountains | Caucasus Mountains
Which weapons are of the type semi-automatic shotguns ?,Akdal MKA 1919 | Baikal MP-153 | Benelli Raffaello | Benelli Vinci | Beretta 1201FP | Beretta A303 | Beretta AL391 | Beretta Xtrema 2 | Browning Auto-5 | Browning Double Automatic Shotgun | FN SLP | Franchi AL-48 | Franchi SPAS-12 | Franchi SPAS-15 | High Standard Model 10 | Ithaca Mag-10 | Mossberg 930 | MTs 21-12 | Pancor Jackhammer | Remington Model 11-48 | Remington Model 58 | Remington Model 878 | Remington Model 1100 | Remington Model SP-10 | Remington Spartan 453 | Saiga-12 | Sjögren shotgun | TOZ-87 | Vepr-12 | Weatherby SA-08
Which museums are dedicated to chocolate ?,Musée de chocolat Jacques | Chocolala Chocolate Museum | Cadbury World | Imhoff-Schokoladenmuseum | Halloren Schokoladenmuseum | Museum of Chocolate (Pokrov) | Museu de la Xocolata | Republic of Chocolate | [[Hersheys Chocolate World]] | The Hershey Story | Candy Americana Museum | Choco-Story New York
What are some existing calendars ?,Vikram samwat | Roman calendar | Attic calendar | Seleucid calendar | Julian calendar | Coptic calendar | Berber calendar | Gaulish calendar | Zoroastrian calendar | Japanese calendar | Islamic calendar | Pyu calendar | Byzantine calendar | Armenian calendar | Florentine calendar | Pisan calendar | Tamil calendar | Nepali calendar | Thai lunar calendar | Jalali calendar | Hebrew calendar | Tibetan calendar | Runic calendar | Gregorian calendar | Javanese calendar | Swedish calendar | Rumi calendar | Thai solar calendar | Revised Julian calendar | Solar Hijri calendar | Soviet calendar | World Calendar | Indian national calendar | Holocene calendar | Juche era calendar | Nanakshahi calendar | Symmetry454 | Igbo calendar
Who was a rabbi known by its acronym ?,Isaac ben Melchizedek | Meir Abulafia | Isaac Alfasi | Moses ben Jacob Cordovero | Moshe Hacohen | Aharon HaLevi | Levi ibn Habib | Isaac ben Sheshet | David Kimhi | Moshe Chaim Luzzatto | Samuel David Luzzatto | Moses ben Maimon (Maimonides) | Meir ben Samuel | Elijah Mizrachi | Yaakov ben Moshe Levi Moelin | Nissim of Gerona | Yom Tov Asevilli | Judah ben Nathan | Israel ben Eliezer (the Baal Shem Tov) | Elijah ben Solomon Zalman (Vilna Gaon) | Moses S. Margolies | Shimon Agassi | Yaakov Dovid Wilovsky
What libraries hold more than 15 million books ?,British Library | Library of Congress | Shanghai Library | New York Public Library | Library and Archives Canada | National Diet Library | Bibliothèque nationale de France | National Library of China | Library of the Russian Academy of Sciences | Boston Public Library | New York State Library | Harvard Library | Vernadsky National Library of Ukraine
Where are located protected areas with an area larger than 250000 km squared ?,Ross Sea | Hawaii and Midway Atoll | Coral Sea | Northeast Greenland | Pitcairn Islands | British Indian Ocean Territory (disputed by Mauritius) | Kermadec Islands | Ascension Island | Phoenix Islands | Great Barrier Reef | Ellesmere Island
What are the photovoltaic power stations with a capacity larger than 250 Mw ?,Pavagada Solar Park | Benban Solar Park | Mohammed bin Rashid Al Maktoum Solar Park | Copper Mountain Solar Facility | Mount Signal Solar | Rewa Ultra Mega Solar | Solar Star | Kamuthi Solar Power Project | Dau Tieng Solar Power Project | Desert Sunlight Solar Farm | Topaz Solar Farm | Mula Photovoltaic Power Plant | Springbok Solar Farm | Agua Caliente Solar Project | Mesquite Solar project | Cestas Solar Park | Beacon Solar Project | California Flats Solar Project | Silver State South Solar Project | Stateline Solar | Moapa Southern Paiute
