question,gold_answer,KG answer,taxonomy_label,method,source
when did i ain't mad at cha come out,"September 15, 1996",1996-09-15T00:00:00Z,Same,Simple heuristics,NQ_table
when did first fast and furious come out,2001,2001-06-22T00:00:00Z,Same,Simple heuristics,NQ_table
when does star wars battlefront 2 com out,"November 17, 2017",2017-11-17T00:00:00Z,Same,Simple heuristics,NQ_table
when was i can only imagine the song released,2001,2001-01-01T00:00:00Z,Same,Simple heuristics,NQ_table
when is season 3 of grace and frankie being released,"March 24, 2017",2017-03-24T00:00:00Z,Same,Simple heuristics,NQ_table
when was the miraculous journey of edward tulane published,"March 30, 2006",2006-03-30T00:00:00Z,Same,Simple heuristics,NQ_table
What is the publication date of the last book of the series The Kane Chronicles,2 May 2012,2012-05-02T00:00:00Z,Same,Simple heuristics,CompMix_infobox
legends of tomorrow season 3 finale air date,"April 9, 2018",2018-04-09T00:00:00Z,Same,Simple heuristics,NQ_table
when did avatar the last airbender first air,"February 21, 2005",2005-02-21T00:00:00Z,Same,Simple heuristics,NQ_table
Which TV series with actor Charlie Sheen was created by Chuck Lorre,Two and a Half Men,"Bookie|Bookie (lang:en)
Two and a Half Men|Two and a Half Men (lang:en)
The Big Bang Theory|The Big Bang Theory (lang:en)",Higher accuracy in KG than in Table,Simple heuristics,CompMix_infobox
Which album by Metallica was released first: Ride the Lightning or Master of Puppets,Ride the Lightning,"Ride the Lightning|1984
Master of Puppets|1986",Higher accuracy in KG than in Table,Simple heuristics,CompMix_table
when was the first season of when calls the heart,"January 11, 2014",2014-01-11T00:00:00Z,Same,Simple heuristics,NQ_table
when did the not in this lifetime tour start,"April 1, 2016",2016-04-01T00:00:00Z,Same,Simple heuristics,NQ_table
Who is the director of the second season of Under the Dome,Jack Bender,"Ernest Dickerson|Ernest Dickerson (lang:en)
Peter Leto|Peter Leto (lang:en)
Peter Leto|Peter Leto (lang:en)
Holly Dale|Holly Dale (lang:en)
Peter Weller|Peter Weller (lang:en)
...|...
Jack Bender|Jack Bender (lang:en)
Jack Bender|Jack Bender (lang:en)
David Barrett|David Barrett (lang:en)
Eriq La Salle|Eriq La Salle (lang:en)
Edward Ornelas|Edward Ornelas (lang:en)",Higher accuracy in KG than in Table,Simple heuristics,CompMix_infobox
when was 13 reasons why released on netflix,"March 31, 2017",2017-03-31T00:00:00Z,Same,Simple heuristics,NQ_table
when was half life 2 episode 2 released,"October 10, 2007",2007-10-10T00:00:00Z,Same,Simple heuristics,NQ_table
Who played Joseph Cooper in Interstellar?,Matthew McConaughey,"Josh Stewart|Josh Stewart (lang:en)
David Gyasi|David Gyasi (lang:en)
Michael Caine|Michael Caine (lang:en)
Matt Damon|Matt Damon (lang:en)
Matthew McConaughey|Matthew McConaughey (lang:en)
...|...
William Devane|William Devane (lang:en)
Leah Cairns|Leah Cairns (lang:en)
Elyes Gabel|Elyes Gabel (lang:en)
Bill Irwin|Bill Irwin (lang:en)
Mackenzie Foy|Mackenzie Foy (lang:en)",Higher accuracy in KG than in Table,Simple heuristics,CompMix_table
when does season 8 for blue bloods start,"September 29, 2017",2017-09-29T00:00:00Z,Same,Simple heuristics,NQ_table
when did the cubs won a world series,2016,"1907
1908
2016",Higher accuracy in KG than in Table,Simple heuristics,NQ_table
when does season 2 of just add magic come out,"October 14, 2016",2016-10-14T00:00:00Z,Same,Simple heuristics,NQ_table
when was the us department of homeland security created,"November 25, 2002",2002-11-25T00:00:00Z,Same,Simple heuristics,NQ_table
"Who was the head coach for CF Montréal soccer team from August 10, 2011 to November 3, 2012",Jesse Marsch,"Nick De Santis|2011-06-28T00:00:00Z|2011-09-30T00:00:00Z
Jesse Marsch|2011-10-01T00:00:00Z|2012-11-03T00:00:00Z",Higher accuracy in KG than in Table,Simple heuristics,CompMix_table
when did gaurdians of the galaxy 2 come out,"May 5, 2017",2017-05-05T00:00:00Z,Same,Simple heuristics,NQ_table
when did clifford the big red dog first air on tv,"September 4, 2000",2000-09-04T00:00:00Z,Same,Simple heuristics,NQ_table
when is season 4 of flash coming out,"October 10, 2017",2017-10-10T00:00:00Z,Same,Simple heuristics,NQ_table
when will the flash season 4 be released,"October 10, 2017",2017-10-10T00:00:00Z,Same,Simple heuristics,NQ_table
when was the last episode of vampire diaries aired,"March 10, 2017",2017-03-10T00:00:00Z,Same,Simple heuristics,NQ_table
when does isle of dogs come out in us,"March 23, 2018",2018-03-23T00:00:00Z,Same,Simple heuristics,NQ_table
when did rob dyrdek's fantasy factory end,"March 5, 2015",2015-03-05T00:00:00Z,Same,Simple heuristics,NQ_table
when did disney art of animation resort open,"May 31, 2012",2012-05-31T00:00:00Z,Same,Simple heuristics,NQ_table
When did the last episode of How I Met Your Mother air on,"March 31, 2014",2014-03-31T00:00:00Z,Same,Simple heuristics,CompMix_table
when did britain set up east indian trading company,31 December 1600,1600-12-31T00:00:00Z,Same,Simple heuristics,NQ_table
What is Metacritic rating of Sour?,83/100,music/sour/olivia-rodrigo,Different answer,Simple heuristics,CompMix_table
What is the name of the first album of the Jeff Russo,Lemon Parade,wd:Q121145482|,Different answer,Simple heuristics,CompMix_table
what is the length of love me like you do song?,4:13,252.0,Different answer,Simple heuristics,CompMix_table
who is the current cruiserweight champion in wwe,Cedric Alexander,2022-01-04T00:00:00Z,Different answer,Simple heuristics,NQ_table
how far into game of thrones is the tv show,outline from The Winds of Winter and A Dream of Spring,8,Different answer,Simple heuristics,NQ_table
who is considered the father of modern cosmology,Edwin Hubble,wd:Q12998,Different answer,Simple heuristics,NQ_table
What is the name of the lake that is beside which Canadian city that had the least amount of residents in the latest year,Lake Ontario,Whitlocks Mill Light (lang:en),Different answer,Simple heuristics,OTT_QA_dev
"of all African nations, where does DR Congo's military size rank","['Algeria', 'Egypt', 'Nigeria', 'Eritrea', 'Democratic Republic of the Congo', 'Morocco', 'South Sudan', 'Ethiopia', 'Sudan', 'Angola', 'Tunisia', 'South Africa', 'Guinea', 'Kenya', 'Uganda', 'Somalia', 'Cameroon', 'Sudan', 'Mali', 'Chad', 'Rwanda', 'Libya', 'Mauritania', 'Burundi', 'Zimbabwe', 'Tanzania', 'Malawi', 'Niger', 'Ivory Coast', 'Zimbabwe', 'Botswana', 'Djibouti', 'Burundi', 'Sudan', 'Senegal', 'Ghana', 'Zambia', 'Madagascar', 'Namibia', 'Sierra Leone', 'Burkina Faso', 'Mozambique', 'Republic of Congo', 'Central African Republic', 'Togo', 'Madagascar', 'Mauritania', 'Gabon', 'Mali', 'Benin', 'The Gambia', 'Guinea-Bissau', 'Eswatini', 'Equatorial Guinea', 'Mauritius', 'Lesotho', 'Liberia', 'Cape Verde', 'Comoros', 'Seychelles', 'São Tomé and Príncipe']",1,Different answer,Simple heuristics,Monaco_time
Who formed Poco to which Woo Ji-won & Choi Song-hwa danced the Quickstep in the TV show Dancing with the Stars ( South Korean season 3 ),"Richie Furay , Jim Messina and Rusty Young",Anca Pop (lang:en),Different answer,Simple heuristics,OTT_QA_dev
where is the eagle creek fire located in oregon,Cascade Locks,"major 2017 wildfire in Columbia Gorge, Oregon (lang:en)",Different answer,Simple heuristics,NQ_table
"What was the label of the song I am not a woman, I’m a god",Capitol,"I Am Not a Woman, I'm a God (lang:en)",Different answer,Simple heuristics,CompMix_infobox
What is the Metacritic rating of the album Here We Go Again?,65/100,music/here-we-go-again/demi-lovato,Different answer,Simple heuristics,CompMix_table
new york heart association functional classification of angina,II,classification of heart failure (lang:en),Different answer,Simple heuristics,NQ_table
who lives in the blue house in balamory,Edie McCredie,Eunice rousseaui (lang:en),Different answer,Simple heuristics,NQ_table
The Sport Australia Media Awards Best Coverage of Sport for People with a Disability Journalist for the year 2011 is commonly known as what,Channel 10,Sporting Wheelies and Disabled Association (lang:en),Different answer,Simple heuristics,OTT_QA_dev
when was the last time the los angeles lakers won a championship,2010,2020,Different answer,Simple heuristics,NQ_table
In what year is the Most Recent Win for the VFL/AFL team ( with most pre-season cup wins between 1988–2013 ) nicknamed `` The Cats ``,2009,2011,Different answer,Simple heuristics,OTT_QA_dev
"When was the B2 division club which played in Cypriot Second Division in 2013/14 , based in the second largest urban area in Cyprus founded",1956,1930,Different answer,Simple heuristics,OTT_QA_dev
"What year was it on Earth in the last novel of The Chronicles of Narnia series, The Last Battle",1949,1956,Different answer,Simple heuristics,CompMix_table
The older artist whose song was played during the dance which resulted in elimination in week 7 of Strictly Come Dancing series 17 was born when,17 February 1991,1939,Different answer,Simple heuristics,OTT_QA_dev
In what year was Megan Rapinoe named one of Time Magazine's 100 most influential people,2020,2022,Different answer,Simple heuristics,CompMix_infobox
The location for Ray Moylette 's winning boxing match over Ivan Godor was first demolished to be replaced in its current form in what year,1909,2007,Different answer,Simple heuristics,OTT_QA_dev
when did michigan last win a national championship,1989,2024,Different answer,Simple heuristics,NQ_table
In which year did the novel The Old Man and the Sea come out,1990,1952,Different answer,Simple heuristics,CompMix_table
when was the last time michigan basketball won the championship,1989,2019,Different answer,Simple heuristics,NQ_table
when was the last time michigan basketball won the championship,1989,2025,Different answer,Simple heuristics,NQ_table
when was the last time michigan basketball won the championship,1989,2025,Different answer,Simple heuristics,NQ_table
what year was the book The Old Man and the Sea pubblished,1990,1952,Different answer,Simple heuristics,CompMix_table
when was the last year the raiders won the superbowl,1983,1984,Different answer,Simple heuristics,NQ_table
when was the last time the dodgers went to the world seris,2012,2025,Different answer,Simple heuristics,NQ_table
what year did the golden state warriors win their first nba championship,1947,1975,Different answer,Simple heuristics,NQ_table
In which year was the dystopian science fiction novel Brave New World written,1931,1932,Different answer,Simple heuristics,CompMix_table
what was the first episode of dragon ball z,"""Mini-Goku is an Overprotected Boy! I Am Gohan."" / ""The Arrival of Raditz"" [The New Threat]",applies to jurisdiction (lang:en),Different answer,Simple heuristics,NQ_table
who was the first elected president of pakistan,Iskander Mirza,Iskandar Ali Mirza|Iskandar Ali Mirza (lang:en),Same,LLM-as-a-judge,NQ_table
What was the name of Cara Gee's character on The Expanse?,Camina Drummer,Camina Drummer (lang:en),Same,LLM-as-a-judge,CompMix_table
What was the name of the author of the book on which the movie The Notebook was based on,Nicholas Sparks,Nicholas Sparks (lang:en),Same,LLM-as-a-judge,CompMix_infobox
"What is the name of the first movie in the series, Lord of the Rings",The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring (lang:en),Same,LLM-as-a-judge,CompMix_table
Who is the director of the TV series Hanna?,Sarah Adina Smith,Sarah Adina Smith (lang:en),Same,LLM-as-a-judge,CompMix_table
Who is the director of the season 1 of the series Hanna,Sarah Adina Smith,Sarah Adina Smith (lang:en),Same,LLM-as-a-judge,CompMix_table
what emperor took over france after the reign of terror,Napoleon Bonaparte,Napoleon|Napoleon (lang:en),Same,LLM-as-a-judge,NQ_table
where is bigg boss tamil house is located,Chennai,Chennai (lang:en),Same,LLM-as-a-judge,NQ_table
who was elected president in mexico in 2000,Vicente Fox,Vicente Fox Quesada|Vicente Fox Quesada (lang:en),Same,LLM-as-a-judge,NQ_table
"In the 2003 AFL round 8 premiership season match at The Gabba , the home team was formed from a merger of the Fitzroy Lions and what other team",Brisbane Bears,Brisbane Bears (lang:en),Same,LLM-as-a-judge,OTT_QA_dev
who won the ncaa women's championship last year 2017,South Carolina Gamecocks,South Carolina Gamecocks women's basketball|South Carolina Gamecocks women's basketball (lang:en),Same,LLM-as-a-judge,NQ_table
What is the name of the actress who played teenage Martha in Dark?,Lisa Vicari,Lisa Vicari (lang:en),Same,LLM-as-a-judge,CompMix_table
which organelle is the site of atp production and storage,mitochondrion,mitochondrion (lang:en),Same,LLM-as-a-judge,NQ_table
What is the name of the first part of the book series The Expanse,Leviathan Wakes,Leviathan Wakes (lang:en),Same,LLM-as-a-judge,CompMix_table
Which club was Neymar transferred to from the football club Barcelona?,Paris Saint-Germain F.C.,Paris Saint-Germain FC|Paris Saint-Germain FC (lang:en),Same,LLM-as-a-judge,CompMix_table
who sang the superbowl national anthem in 2017,Luke Bryan,|Luke Bryan (lang:en),Same,LLM-as-a-judge,NQ_table
who won the ncaa basketball championship in 1994,Arkansas Razorbacks,Arkansas Razorbacks men's basketball,Same,LLM-as-a-judge,NQ_table
who issued ashwamedha coins after performing ashvamedha sacrifice,Samudragupta,|Samudragupta (lang:en),Same,LLM-as-a-judge,NQ_table
What is the name of the narrator of the series Gossip Girl,Kristen Bell,Kristen Bell (lang:en),Same,LLM-as-a-judge,CompMix_infobox
Who was the kit supplier for the D.C. United soccer club?,Adidas,Adidas AG|Adidas AG (lang:en),Same,LLM-as-a-judge,CompMix_table
Who Created by Elite Tv Series?,"Carlos Montero, Darío Madrona","Carlos Montero
Darío Madrona",Same,LLM-as-a-judge,CompMix_table
Who Is the Creator of the Elite TV Series?,"Carlos Montero, Darío Madrona","Carlos Montero
Darío Madrona",Same,LLM-as-a-judge,CompMix_table
"For the German athlete medalist at the 2013 World Aquatics Championships is a former world record holder in the 200 meter breastroke , what month did he win silver",2 August,August,Same,LLM-as-a-judge,OTT_QA_dev
Which movie did Stuart Craig win an award for working on in 1980,The Elephant Man,"The Elephant Man (lang:en)
The Elephant Man (lang:en)
The Elephant Man (lang:en)",Same,LLM-as-a-judge,CompMix_infobox
What is the traditional area of the Sami people whose religion 's name variation is noted for a rock of the shape resembling a ragged woman goddess,Sápmi,|Sápmi (lang:en),Same,LLM-as-a-judge,OTT_QA_dev
What is LL Cool J's role on the 2009 police procedural tv series,Sam Hanna,Sam Hanna (lang:en),Same,LLM-as-a-judge,CompMix_table
who was the king of england in 1756,George II,George II of Great Britain|George II of Great Britain (lang:en),Same,LLM-as-a-judge,NQ_table
In what city was the novel A Tale of Two Cities set,London; Paris,"London
Paris",Same,LLM-as-a-judge,CompMix_infobox
Hugh Bonneville appeared as the The Earl of Grantham in what TV show?,Downton Abbey,|Downton Abbey (lang:en),Same,LLM-as-a-judge,CompMix_table
where is the hero golf challenge being played,The Bahamas,The Bahamas (lang:en),Same,LLM-as-a-judge,NQ_table
What was the name of the character played by Brad Pitt in the movie Fight Club?,Tyler Durden,Tyler Durden (lang:en),Same,LLM-as-a-judge,CompMix_table
Robert Lewandowski is the captain of which national team?,Poland,Poland (lang:en),Same,LLM-as-a-judge,CompMix_table
"Where is the location of the photo on the album cover, where the 4 members of the Beatles walk across the road",Abbey Road,Abbey Road (lang:en),Same,LLM-as-a-judge,CompMix_infobox
What is the name of the role played by Michael C. Hall in the TV show Six Feet Under?,David Fisher,David Fisher (lang:en),Same,LLM-as-a-judge,CompMix_table
who has the most green jackets from the masters,Jack Nicklaus (6),Jack Nicklaus|Jack Nicklaus (lang:en)|6,Same,LLM-as-a-judge,NQ_table
What is the name of the first book in the Wheel of Time series,The Eye of the World,The Eye of the World (lang:en),Same,LLM-as-a-judge,CompMix_infobox
What is the title of the first Wheel of Time book,The Eye of the World,The Eye of the World (lang:en),Same,LLM-as-a-judge,CompMix_table
What was the Association of the soccer United States men's national soccer team,United States Soccer Federation (USSF),United States Soccer Federation|United States Soccer Federation (lang:en),Same,LLM-as-a-judge,CompMix_infobox
What was the title of the fourth book in the Twilight series,Breaking Dawn,Breaking Dawn (lang:en),Same,LLM-as-a-judge,CompMix_table
what is the official slogan for the 2018 winter olympics,Passion. Connected.,Passion. Connected. (lang:en),Same,LLM-as-a-judge,NQ_table
The Meeting de Marcha Atlética da Cidade de Olhao in the 2010 IAAF Race Walking Challenge was held in what region of southern Portugal,Algarve,Algarve (lang:en),Same,LLM-as-a-judge,OTT_QA_dev
What is the indigenous title of the novel The Alchemist?,O Alquimista,O Alquimista (lang:pt),Same,LLM-as-a-judge,CompMix_table
What is the original title of the novel The Alchemist?,O Alquimista,O Alquimista (lang:pt),Same,LLM-as-a-judge,CompMix_table
What is the title of the first book in the Jack Reacher series,Killing Floor,Killing Floor (lang:en),Same,LLM-as-a-judge,CompMix_table
who was the 11th prime minister of canada,R. B. Bennett,Richard Bedford Bennett|Richard Bedford Bennett (lang:en),Same,LLM-as-a-judge,NQ_table
what order are the percy jackson movies in,Percy Jackson & the Olympians: The Lightning Thief | Percy Jackson: Sea of Monsters,"Percy Jackson & the Olympians: The Lightning Thief|Percy Jackson & the Olympians: The Lightning Thief (lang:en)|1
Percy Jackson & The Olympians - The Sea of Monsters|Percy Jackson & The Olympians: The Sea of Monsters (lang:en)|2",Same,LLM-as-a-judge,NQ_table
Which country did Gabriel Batistuta play football for?,Argentina,Argentina (lang:en),Same,LLM-as-a-judge,CompMix_table
How many goals has Jan Oblak scored for Slovenia national football team,0,0.0,Same,LLM-as-a-judge,CompMix_table
where do the elves go on the boat in lord of the rings,Valinor,Valinor (lang:en),Same,LLM-as-a-judge,NQ_table
Which country did the US Women's National Team defeat to win the Women's World Cup in 2019,The Netherlands,Netherlands (lang:en),Same,LLM-as-a-judge,CompMix_infobox
What's the name of the theme song for the first season of True Detective,Far from Any Road,Far From Any Road (lang:en),Same,LLM-as-a-judge,CompMix_infobox
Francesco Totti played for which country?,Italy,"Italy (lang:en)
Italy (lang:en)
Italy (lang:en)
Italy (lang:en)
Italy (lang:en)
Italy (lang:en)
Italy (lang:en)
Italy (lang:en)
Italy (lang:en)
Italy (lang:en)",Same,LLM-as-a-judge,CompMix_table
Which football club was represented by the soccer player Raúl González in the year 2002,Real Madrid,Real Madrid Club de Fútbol|Real Madrid Club de Fútbol (lang:en),Same,LLM-as-a-judge,CompMix_table
the recipient of first jnanpith award was an author which language,Malayalam,G. Sankara Kurup (lang:en)|Malayalam (lang:en),Same,LLM-as-a-judge,NQ_table
what was the language of the  Emma book?,English,English (lang:en),Same,LLM-as-a-judge,CompMix_table
who has the biggest airport in the us,Atlanta,City of Atlanta (lang:en),Same,LLM-as-a-judge,NQ_table
Names of married partner madonna?,Guy Ritchie;Sean Penn,"Guy Ritchie|Guy Ritchie (lang:en)
Sean Penn|Sean Penn (lang:en)",Same,LLM-as-a-judge,CompMix_table
who is the longest serving member of the house in history,John Dingell,"John Dingell, Jr.|60|John Dingell, Jr. (lang:en)",Same,LLM-as-a-judge,NQ_table
who did johnny manziel play college football for,Texas A&M,Texas A&M Aggies football|Texas A&M Aggies football (lang:en),Same,LLM-as-a-judge,NQ_table
"What cable network had a series that starred Henry Thomas which was created for and aired an episode in North America on November 25 , 2005",Showtime,Showtime (lang:en),Same,LLM-as-a-judge,OTT_QA_dev
who won last year's grand national 2017,One For Arthur,One For Arthur (lang:en),Same,LLM-as-a-judge,NQ_table
Which Oscar did The Girl with the Dragon Tattoo win?,Best Film Editing,Academy Award for Best Film Editing (lang:en),Same,LLM-as-a-judge,CompMix_table
who is the  shirt sponsors sponsor of RB Leipzig  team?,Red Bull,Red Bull GmbH|Red Bull GmbH (lang:en),Same,LLM-as-a-judge,CompMix_table
What was the subtitle of the book Jane Eyre?,An Autobiography,An Autobiography (lang:en),Same,LLM-as-a-judge,CompMix_table
who won the battle of britain in ww2,British,United Kingdom,Same,LLM-as-a-judge,NQ_table
Which tv network originally aired the science fiction tv series Space: Above and Beyond,Fox,Fox Broadcasting Company|Fox Broadcasting Company (lang:en),Same,LLM-as-a-judge,CompMix_infobox
who wrote old flames cant hold a candle to you,Patricia Rose Sebert | Hugh Moffatt,"Hugh Moffatt|Hugh Moffatt (lang:en)
Pebe Sebert|Pebe Sebert (lang:en)",Same,LLM-as-a-judge,NQ_table
when did world war 2 officially start and end,1 September 1939 – 2 September 1945,1939-09-01T00:00:00Z|1945-09-02T00:00:00Z,Same,LLM-as-a-judge,NQ_table
What is the number of episodes of the TV series Money Heist,41,41.0,Same,LLM-as-a-judge,CompMix_table
Which football club Kaka was playing for when he won the Ballon d'Or,A.C. Milan,"AC Milan|AC Milan (lang:en)
Brazil men's national football team|Brazil men's national football team (lang:en)",Same,LLM-as-a-judge,CompMix_infobox
who sings the song let me love you,DJ Snake featuring Justin Bieber,"DJ Snake|DJ Snake (lang:en)
Justin Bieber|Justin Bieber (lang:en)",Same,LLM-as-a-judge,NQ_table
Which album by Britney Spears was released first Baby One More Time,Baby One More Time,...Baby One More Time|1998-10-23T00:00:00Z,Same,LLM-as-a-judge,CompMix_table
Which type of The Scarlet Letter genre?,"Romantic, Historical","historical fiction|historical fiction (lang:en)
romantic fiction|romantic fiction (lang:en)",Same,LLM-as-a-judge,CompMix_table
What is the name of the first book of the series The Dark Tower,The Gunslinger,The Dark Tower: The Gunslinger (lang:en),Same,LLM-as-a-judge,CompMix_infobox
How many goals did Eden Hazard scored for Belgium national football team,33,33.0,Same,LLM-as-a-judge,CompMix_table
The science fiction tv series Space: Above and Beyond originally aired on which tv network,Fox,Fox Broadcasting Company (lang:en),Same,LLM-as-a-judge,CompMix_infobox
What is the title of the 93rd episode of the Arrow series,Legacy,Legacy (lang:en),Same,LLM-as-a-judge,CompMix_table
Who were the directors of the episode named MADMAX of the series Stranger Things,Duffer brothers,"Matt Duffer|Matt Duffer (lang:en)
Ross Duffer|Ross Duffer (lang:en)",Same,LLM-as-a-judge,CompMix_table
panda is a national animal of which country,China,People's Republic of China|People's Republic of China (lang:en),Same,LLM-as-a-judge,NQ_table
In which country was the novel The Stand by Stephen King published,United States of America,United States (lang:en),Same,LLM-as-a-judge,CompMix_table
how many episodes in my name is earl season 4,27,27.0,Same,LLM-as-a-judge,NQ_table
who has the most trophies in la liga,Real Madrid,Real Madrid Club de Fútbol|Real Madrid Club de Fútbol (lang:en)|36,Same,LLM-as-a-judge,NQ_table
What club did Andoni Goikoetxea play for in the year 1980,Athletic Bilbao,Athletic Club|Athletic Club (lang:en),Same,LLM-as-a-judge,CompMix_table
"What was the total number of games played in the National League Championship Series between the Los Angeles Dodgers and the Philadelphia Phillies in 1977, 1978, 2008, and 2009",18,18.0,Same,LLM-as-a-judge,Sportsreason_TANQ
how many episodes in adventure time season 1,26,26.0,Same,LLM-as-a-judge,NQ_table
Which author wrote The Adventures of Tom Sawyer and Adventures of Huckleberry Finn,Mark Twain,wd:Q7245|Mark Twain (lang:en),Same,LLM-as-a-judge,CompMix_infobox
who is the owner of the crowne plaza,InterContinental Hotels Group,IHG Hotels & Resorts|IHG Hotels & Resorts (lang:en),Same,LLM-as-a-judge,NQ_table
the atomic number of indium which belongs to 5th period is,49,49.0,Same,LLM-as-a-judge,NQ_table
Who was the distributor of the picture 12 Years as a Slave?,"InterCom, ProVideo, Netflix","InterCom
ProVideo
Netflix",Same,LLM-as-a-judge,CompMix_table
when did little house on the praire air,"September 11, 1974 – March 21, 1983",1974-09-11T00:00:00Z|1983-03-21T00:00:00Z,Same,LLM-as-a-judge,NQ_table
Sort the Formula One seasons where Lewis Hamilton was the Drivers' Champion by the number of races from highest to lowest. What is the third number of races in this sorted list,20,"21.0
21.0
20.0
19.0
19.0
18.0",Same,LLM-as-a-judge,Sportsreason_TANQ
who wrote catch 22 (both names),Joseph Heller,Joseph (lang:en)|Heller (lang:en),Same,LLM-as-a-judge,NQ_table
What team won the gold medal for soccer in the men's division in the 2020 Summer Olympics,Brazil,Brazil national under-23 football team,Same,LLM-as-a-judge,CompMix_infobox
how many seasons of the smurfs are there,9,9.0,Same,LLM-as-a-judge,NQ_table
where is kruger national park in south africa,"Limpopo and Mpumalanga provinces, South Africa","Mpumalanga (lang:en)
Limpopo (lang:en)",Same,LLM-as-a-judge,NQ_table
how many episodes in series 7 of game of thrones are there,7,7.0,Same,LLM-as-a-judge,NQ_table
how many episodes in game if thrones season 7,7,7.0,Same,LLM-as-a-judge,NQ_table
how many seasons of rules of engagement is there,7,7.0,Same,LLM-as-a-judge,NQ_table
"The console video game localized by Aksys Games that was released on June 7 , 2016 by Arc System Works was of what genre",fighting,fighting game (lang:en),Same,LLM-as-a-judge,OTT_QA_dev
how many gold medals did australia win in the 2000 olympics,16,16.0,Same,LLM-as-a-judge,NQ_table
who won the battle of stirling bridge 1297,Scottish victory,Kingdom of Scotland|Kingdom of Scotland (lang:en),Same,LLM-as-a-judge,NQ_table
how many seasons of vampire diaries r there,8,8.0,Same,LLM-as-a-judge,NQ_table
What is the combined number of games played in the 2008 and 2009 National League Championship Series between the Los Angeles Dodgers and the Philadelphia Phillies,10,10.0,Same,LLM-as-a-judge,Sportsreason_TANQ
how many episodes in season 2 of fargo,10,10.0,Same,LLM-as-a-judge,NQ_table
How many episodes in the season 1 of Emily in Paris series,10,10.0,Same,LLM-as-a-judge,CompMix_table
what is the second largest country in asia,China,People's Republic of China|People's Republic of China (lang:en)|9596961.0,Same,LLM-as-a-judge,NQ_table
when was the suite life of zack and cody made,"March 18, 2005 – September 1, 2008",2005-03-18T00:00:00Z|2008-09-01T00:00:00Z,Same,LLM-as-a-judge,NQ_table
What is the number of seasons in the Two and a Half Men series,12,12.0,Same,LLM-as-a-judge,CompMix_infobox
How many episodes are there in season 1 of the TV series Lucifer,13,13.0,Same,LLM-as-a-judge,CompMix_table
What was the difference in the number of games played between the 2008 National League Championship Series and the 1977 National League Championship Series,1,1.0,Same,LLM-as-a-judge,Sportsreason_TANQ
How many more games were played in the 2006 National League Championship Series won by the St. Louis Cardinals compared to the 2013 National League Championship Series won by the St. Louis Cardinals,1,1.0,Same,LLM-as-a-judge,Sportsreason_TANQ
How many goals did Paul Pogba scored for France national under-18 football team,1,1.0,Same,LLM-as-a-judge,CompMix_table
who won last year's ncaa women's basketball,South Carolina,2021–22 South Carolina Gamecocks women's basketball team,Same,LLM-as-a-judge,NQ_table
what was the lowest barometric pressure for hurricane irma,914 mbar (hPa),914.0,Same,LLM-as-a-judge,NQ_table
Which are the teams participated in the inaugural UEFA Championship?,Soviet Union; Yugoslavia; Czechoslovakia; France,"Czechoslovakia men's national association football team|Czechoslovakia men's national association football team (lang:en)
Yugoslavia men's national football team|Yugoslavia men's national football team (lang:en)
Soviet Union national association football team|Soviet Union national association football team (lang:en)
France men's national association football team|France men's national association football team (lang:en)",Same,LLM-as-a-judge,CompMix_table
ray charles hit the road jack album name,Ray Charles Greatest Hits,Greatest Hits (lang:en),Same,LLM-as-a-judge,NQ_table
Sort Lewis Hamilton's Formula One championship seasons from 2015 onwards by the number of races from highest to lowest. What is the number of races in the second season in this sorted list,21,"2018 Formula One World Championship|21.0|2018
2019 Formula One World Championship|21.0|2019
2017 Formula One World Championship|20.0|2017
2015 Formula One World Championship|19.0|2015",Same,LLM-as-a-judge,Sportsreason_TANQ
What is the budget of Boyhood movie?,4 million USD,4000000.0,Same,LLM-as-a-judge,CompMix_table
show me fort pierce florida on a map,27°26′20″N 80°20′8″W﻿ / ﻿27.43889°N 80.33556°WCoordinates: 27°26′20″N 80°20′8″W﻿ / ﻿27.43889°N 80.33556°W,POINT(-80.335556 27.438889) (geo:wktLiteral),Same,LLM-as-a-judge,NQ_table
What is the Publication date of the first book of the series His Dark Materials,9 July 1995,Northern Lights|1995-07-09T00:00:00Z,Same,LLM-as-a-judge,CompMix_infobox
philadelphia is known as the city of what,Brotherly Love,"City of Brotherly Love (lang:en)
Philly (lang:en)",Same,LLM-as-a-judge,NQ_table
how many seasons of johnny bravo are there,4,4.0,Same,LLM-as-a-judge,NQ_table
What is the date of publication of the first book of the Outland series,1 June 1991,Outlander|1991-06-01T00:00:00Z,Same,LLM-as-a-judge,CompMix_infobox
"Which record label released Shakira's second English album, Oral Fixation, Vol. 2",Epic,Epic Records (lang:en),Same,LLM-as-a-judge,CompMix_table
how many episodes are there in ordeal by innocence,3,3.0,Same,LLM-as-a-judge,NQ_table
the secret of crickley hall how many episodes,3,3.0,Same,LLM-as-a-judge,NQ_table
What was the difference in the total number of games played between the 2013 American League Championship Series and the 1975 American League Championship Series,3,3.0,Same,LLM-as-a-judge,Sportsreason_TANQ
How many more games were played in the 2013 American League Championship Series won by the Boston Red Sox compared to their 1975 American League Championship Series win,3,3.0,Same,LLM-as-a-judge,Sportsreason_TANQ
